Time	R044WFSIMES	R044WFSQMES	R044WFSGMES	R044WFSPMES	R044WFSIASK	R044WFSQASK	R044WFSGASK	R044WFSPASK	R044WFSCRFP	R044WFSCRFPP	R044WFSCRRP	R044WFSCRRPP	R044WFSGLDE	R044WFSPLDE	R044WFSDETA2	R044WFSCFQE2	R044WFSDFQES
-102.4	21571	12023	15.7959	29.1028	-3802	-7939	2.87048	-115.648	1.81406	-118.196	1.78018	-59.8535	0.000202413	0.00549316	2.54333	1.28368	0.00325963
-102.35	21579	12015	15.8	29.0973	-2720	-7978	2.71576	-115.703	1.83045	-119.938	1.78584	-59.4415	0.000242895	0.00549316	2.60376	1.31422	0.00325963
-102.3	21580	12011	15.797	29.1193	-4906	-7755	2.94373	-118.323	1.77973	-124.969	1.81211	-54.7998	8.09651e-05	-0.00549316	1.66443	0.83976	0.00325963
-102.25	21576	12025	15.8	29.1138	-4467	-7827	2.72064	-119.641	1.76235	-121.047	1.84016	-57.7716	0.000121448	0.00549316	1.86218	0.9396	0.00325963
-102.2	21576	12023	15.797	29.1138	-4559	-8132	2.84485	-119.279	1.80481	-127.667	1.79764	-51.5973	0.000121448	0.0219727	1.74133	0.878584	0.00325963
-102.15	21585	12017	15.8004	29.1138	-4997	-7199	2.77252	-121.635	1.86646	-121.388	1.72381	-57.5024	0.000121448	-0.0164795	1.66443	0.83976	0.00325963
-102.1	21576	12011	15.8023	29.1083	-4480	-7329	2.66693	-118.185	1.79822	-126.508	1.80546	-53.1464	0.00016193	-0.0219727	1.82373	0.920185	0.00325963
-102.05	21583	12015	15.7981	29.0918	-4293	-7884	2.73315	-115.307	1.76908	-128.101	1.81327	-52.2015	0.000283378	0	1.05469	0.532035	0.00325963
-102	21581	12021	15.8034	29.1193	-3826	-7238	2.6059	-120.899	1.83858	-129.792	1.74127	-50.3339	8.09651e-05	-0.0274658	0.856934	0.432262	0.00325963
-101.95	21575	12021	15.7978	29.1138	-3885	-8181	2.82745	-119.416	1.79416	-128.551	1.78367	-51.1578	0.000121448	0.0109863	0.362549	0.182869	0.00325963
-101.9	21582	12010	15.7989	29.0863	-4455	-7770	2.70874	-114.549	1.74231	-120.943	1.85694	-58.6176	0.00032386	-0.00549316	0.505371	0.254911	0.00325963
-101.85	21579	12013	15.797	29.1138	-4063	-8424	2.89398	-118.328	1.90996	-129.803	1.67509	-50.7678	0.000121448	0.0219727	0.774536	0.390693	0.00325963
-101.8	21580	12027	15.803	29.1357	-4904	-7196	2.74963	-127.513	1.77034	-127.628	1.82558	-52.4158	-4.04826e-05	-0.0274658	0.631714	0.318644	0.00651926
-101.75	21580	12017	15.7997	29.1028	-4512	-7849	2.74811	-117.307	1.88869	-130.243	1.70435	-49.823	0.000202413	0	0.450439	0.227203	0.00651926
-101.7	21584	12024	15.8027	29.1193	-4024	-7341	2.72766	-121.124	1.87039	-124.596	1.71134	-55.3217	8.09651e-05	-0.0219727	0.406494	0.205036	0.00651926
-101.65	21579	12008	15.7981	29.1028	-4084	-8283	2.84332	-116.971	1.8156	-127.546	1.76937	-52.3883	0.000202413	0.0164795	0.593262	0.299247	0.00651926
