Time	R1M5WFSIMES	R1M5WFSQMES	R1M5WFSGMES	R1M5WFSPMES	R1M5WFSIASK	R1M5WFSQASK	R1M5WFSGASK	R1M5WFSPASK	R1M5WFSCRFP	R1M5WFSCRFPP	R1M5WFSCRRP	R1M5WFSCRRPP	R1M5WFSGLDE	R1M5WFSPLDE	R1M5WFSDETA2	R1M5WFSCFQE2	R1M5WFSDFQES
-102.4	-177	-130	0.356592	-143.091	13	34	0.0112915	67.522	0.00646102	3.5321	0.00366865	55.7721	0.290288	147.415	-34.2059	-18.9142	-28.7239
-102.2	-222	8	0.363418	179.149	32	18	0.0112915	30.6519	0.00697224	-11.5247	0	68.2306	0.544419	147.321	-14.7986	-7.35099	-28.7239
-102	-176	135	0.361966	142.185	36	-5	0.0112915	-6.30615	0.00532499	-39.6002	0	-136.829	0.79319	147.321	6.9104	3.37234	-28.7239
-101.8	-58	220	0.364382	103.755	21	-26	0.0112915	-44.7418	0.00447296	-61.9684	0.00314828	-173.842	1.05183	147.316	18.0231	9.05333	-25.0633
-101.6	89	208	0.365344	66.4398	8	-36	0.0112915	-81.6064	0.00350733	-89.1541	0.00451767	156.44	-1.11989	147.327	31.3	16.918	-25.0633
-101.4	196	110	0.357084	28.9215	-19	-32	0.0112915	-119.575	0	-57.5574	0.0064348	135.033	-0.867389	147.382	64.2755	57.7528	-25.0633
-101.2	209	-39	0.351636	-8.84399	-32	-17	0.0112915	-158.236	0	78.4753	0.00638003	116.241	-0.61322	147.404	-111.061	72.2597	-21.0409
-101	137	-158	0.353627	-49.5099	-35	9	0.0112915	162.438	0.00379134	34.2334	0.006873	97.0532	-0.339532	147.404	-97.0367	225.436	-21.0409
-100.8	2	-212	0.352135	-89.1541	-19	29	0.0112915	121.459	0.00603501	23.5602	0.00572272	85.6274	-0.0727199	147.382	-66.5881	-64.2631	-21.0409
-100.6	-138	-169	0.358066	-129.6	6	35	0.0112915	82.348	0.00651782	-0.85144	0.00459983	55.7721	0.19949	147.371	-40.4132	-23.6921	-23.2183
-100.4	-214	-48	0.360995	-166.696	26	24	0.0112915	44.8132	0.00734145	-7.94861	0.00235404	57.5574	0.449148	147.354	-20.5774	-10.4463	-23.2183
