Time	R1M3WFSIMES	R1M3WFSQMES	R1M3WFSGMES	R1M3WFSPMES	R1M3WFSIASK	R1M3WFSQASK	R1M3WFSGASK	R1M3WFSPASK	R1M3WFSCRFP	R1M3WFSCRFPP	R1M3WFSCRRP	R1M3WFSCRRPP	R1M3WFSGLDE	R1M3WFSPLDE	R1M3WFSDETA2	R1M3WFSCFQE2	R1M3WFSDFQES
-102.4	18930	-17827	18.6366	-43.2861	-1422	-11438	3.50372	-95.9875	2.31334	64.2535	1.85763	111.951	0.000114155	-0.0219727	3.31787	1.93716	0
-102.2	18921	-17821	18.6348	-43.2751	-828	-11849	3.66608	-97.7509	2.16169	71.0815	2.00661	105.716	3.80518e-05	0.00549316	2.80151	1.63515	0
-102	18931	-17832	18.6436	-43.3026	-1104	-10901	3.3075	-93.7848	2.17988	64.2096	1.99402	112.297	0.00022831	-0.0549316	1.74133	1.01586	0
-101.8	18923	-17829	18.6405	-43.2806	-1313	-11144	3.47137	-96.3007	2.27755	64.6545	1.8918	111.813	7.61035e-05	-0.0439453	2.12036	1.23717	0
-101.6	18926	-17821	18.6357	-43.2751	-1468	-12173	3.72864	-97.207	2.29059	67.2803	1.88371	108.836	3.80518e-05	0.0384521	2.45544	1.4329	0
-101.4	18913	-17837	18.6419	-43.3301	-595	-10921	3.33588	-89.8352	2.23387	67.3901	1.94096	108.957	0.000418569	-0.0439453	3.40027	1.98538	0
-101.2	18922	-17822	18.6335	-43.2971	-1518	-11498	3.6441	-94.422	2.17321	66.3684	1.99462	109.6	0.000190259	0.00549316	3.32886	1.94359	0
-101	18938	-17826	18.6475	-43.2587	-1684	-10891	3.29712	-101.547	2.24964	69.2358	1.91908	107.617	-7.61035e-05	-0.065918	4.05945	2.37145	0
-100.8	18919	-17824	18.6366	-43.2861	-814	-11225	3.51898	-95.6415	2.22235	64.6106	1.95116	112.22	0.000114155	-0.00549316	4.823	2.81945	0
-100.6	18920	-17832	18.6348	-43.3026	-381	-11704	3.61237	-92.3511	2.22295	70.2246	1.95086	106.007	0.00022831	0.0164795	5.04272	2.94855	0
-100.4	18919	-17831	18.6375	-43.2971	-1089	-11305	3.49854	-93.4113	2.26572	67.3297	1.91039	108.946	0.000190259	-0.0109863	4.33411	2.53249	-0.00325963
-100.2	18925	-17818	18.6322	-43.2587	-1822	-12147	3.79761	-99.4427	2.2912	65.874	1.88341	111.083	-7.61035e-05	0.0384521	3.21899	1.8793	-0.00325963
-100	18929	-17831	18.641	-43.2971	-1659	-11170	3.43048	-93.8123	2.23387	72.356	1.93467	104.623	0.000190259	-0.0384521	2.55981	1.49388	-0.00325963
-99.8	18927	-17819	18.637	-43.2861	-1619	-11734	3.54797	-95.235	2.22811	66.7474	1.94486	109.627	0.000114155	-0.00549316	1.7688	1.0319	-0.00325963
