Time	R1M5WFSIMES	R1M5WFSQMES	R1M5WFSGMES	R1M5WFSPMES	R1M5WFSIASK	R1M5WFSQASK	R1M5WFSGASK	R1M5WFSPASK	R1M5WFSCRFP	R1M5WFSCRFPP	R1M5WFSCRRP	R1M5WFSCRRPP	R1M5WFSGLDE	R1M5WFSPLDE	R1M5WFSDETA2	R1M5WFSCFQE2	R1M5WFSDFQES
-102.4	16	989	0.759257	97.0532	7361	-8367	3.39996	-53.6847	4.42944	-67.0221	4.11243	51.015	1.09694	143.108	26.3837	13.8026	-5.25452
-102.2	-609	-816	0.767762	-122.888	-1001	11094	3.39996	90.0055	4.4146	71.933	4.08535	-170.173	0.154313	143.009	23.7854	12.2639	-6.67898
-102	959	-294	0.763406	-13.1946	-10133	-4634	3.39996	-160.241	4.44301	-178.116	4.10313	-60.3864	-0.58394	143.058	18.5339	9.3285	-6.67898
-101.8	-144	985	0.75995	102.634	8525	-7175	3.39996	-44.7363	4.42266	-62.3419	4.10031	55.5194	1.05937	143.102	28.0536	14.8283	-6.67898
-101.6	-431	-913	0.765014	-110.88	-3312	10635	3.39996	101.964	4.4129	85.9625	4.08737	-156.022	0.0734962	142.993	23.0219	11.8236	-8.51089
-101.4	979	214	0.764096	16.6663	-6574	-8996	3.39996	-130.935	4.45319	-148.672	4.12294	-30.8221	-0.784909	143.031	18.4406	9.27808	-8.51089
-101.2	-637	778	0.764325	133.841	11004	-1741	3.39996	-13.645	4.41375	-31.7505	4.0801	86.012	0.849347	143.026	30.3442	16.2885	-8.51089
-101	-177	-992	0.762946	-95.1526	-5962	9408	3.39996	117.076	4.42435	101.25	4.10515	-140.707	-0.0323487	143.058	19.2206	9.70096	-11.3109
-100.8	821	574	0.762026	39.9298	-2508	-10856	3.39996	-107.787	4.44343	-124.75	4.1193	-6.81702	-0.941477	143.08	21.1761	10.7793	-11.3109
-100.6	-699	727	0.765014	138.615	11101	-946	3.39996	-9.43726	4.40866	-26.7133	4.0704	90.9613	0.817221	143.009	31.1902	16.845	-11.3109
-100.4	-342	-941	0.762026	-104.985	-4154	10339	3.39996	107.073	4.42902	90.5603	4.11081	-151.469	0.0338275	143.086	19.1052	9.63817	-13.5503
-100.2	761	663	0.765014	46.0437	-1420	-11052	3.39996	-102.118	4.43411	-118.691	4.10798	-0.719604	-0.982624	143.004	22.467	11.5068	-13.5503
-100	-915	434	0.764785	159.681	10700	3104	3.39996	11.4038	4.42138	-5.98206	4.0805	111.736	0.675441	142.976	32.1899	17.5156	-16.1906
-99.8	-17	-996	0.762026	-85.4077	-7343	8377	3.39996	126.096	4.43071	110.012	4.11324	-132.039	-0.0979334	143.064	15.6226	7.78074	-16.1906
-99.6	864	514	0.765243	36.2439	-3281	-10646	3.39996	-112.253	4.44174	-127.551	4.11324	-9.59656	-0.91667	143.031	23.302	11.9846	-16.1906
-99.4	-683	739	0.764325	138.06	11082	-1138	3.39996	-10.5524	4.42011	-27.713	4.08454	89.9835	0.820955	143.058	32.6843	17.8527	-18.3973
-99.2001	-78	-999	0.763636	-89.0387	-6722	8884	3.39996	122.349	4.4269	106.694	4.10798	-135.401	-0.0734962	143.08	16.1499	8.05758	-18.3973
-99.0001	794	618	0.761795	43.9508	-1912	-10976	3.39996	-105.101	4.43538	-120.114	4.10798	-2.13684	-0.968539	143.026	25.6531	13.3633	-18.3973
-98.8001	-983	184	0.761795	175.573	9480	5851	3.39996	26.6913	4.42096	11.0083	4.08778	128.815	0.568487	143.08	26.2793	13.7395	-20.2162
-98.6001	267	-966	0.765243	-68.7854	-9327	6092	3.39996	142.042	4.43283	125.689	4.10556	-116.565	-0.209804	143.031	16.3202	8.14729	-20.2162
-98.4001	613	798	0.764325	58.5022	852	-11111	3.39996	-90.7745	4.42986	-106.166	4.10637	11.8542	-1.06647	143.053	26.153	13.6633	-20.2162
-98.2001	-911	-423	0.762716	-148.398	4340	10260	3.39996	62.2101	4.42944	47.4719	4.10192	165.454	0.326001	143.031	23.6865	12.2066	-21.8884
-98.0001	694	-727	0.764785	-40.2649	-11099	942	3.39996	170.453	4.44428	154.775	4.1096	-87.5281	-0.401752	143.026	16.8146	8.40864	-21.8884
-97.8001	305	949	0.761104	78.6951	4473	-10205	3.39996	-70.8014	4.41884	-86.1493	4.09909	31.701	-1.20237	143.097	28.0481	14.8249	-21.8884
-97.6001	-858	-530	0.764555	-141.295	3092	10702	3.39996	69.0875	4.43156	54.4208	4.10596	172.397	0.278199	143.042	26.6913	13.9893	-23.9583
-97.4001	960	-297	0.765014	-10.2942	-10124	-4654	3.39996	-160.021	4.44386	-175.342	4.10798	-57.5574	-0.60346	143.036	16.7047	8.35044	-23.9583
