Time	R1M5WFSIMES	R1M5WFSQMES	R1M5WFSGMES	R1M5WFSPMES	R1M5WFSIASK	R1M5WFSQASK	R1M5WFSGASK	R1M5WFSPASK	R1M5WFSCRFP	R1M5WFSCRFPP	R1M5WFSCRRP	R1M5WFSCRRPP	R1M5WFSGLDE	R1M5WFSPLDE	R1M5WFSDETA2	R1M5WFSCFQE2	R1M5WFSDFQES
-102.4	-5571	-26465	15.9972	-101.86	-4080	5697	2.36908	118.109	2.33203	75.976	0.909507	3.96606	0	-0.00549316	3.99353	1.94257	0
-102.35	-5564	-26478	16.0037	-101.876	-3704	6311	2.11212	120.916	2.62362	71.3617	0.724167	12.9419	0.00011091	-0.00549316	4.021	1.95597	0
-102.3	-5559	-26473	16.0005	-101.876	-3556	5937	2.23328	120.416	2.64254	76.7999	0.702183	3.11462	0.00011091	-0.00549316	3.65845	1.77911	0
-102.25	-5575	-26471	16.0008	-101.86	-3886	5861	2.21008	116.417	2.46045	73.7787	0.816314	8.05847	0	-0.0109863	3.18054	1.54619	0
-102.2	-5561	-26467	15.9997	-101.854	-3049	7223	2.3526	116.472	2.49303	77.3712	0.787496	1.70288	-3.69699e-05	0.0109863	3.23547	1.57295	0
-102.15	-5563	-26478	16.0005	-101.871	-4092	5986	2.21191	120.108	2.49613	71.7407	0.78132	11.3159	7.39399e-05	-0.00549316	2.96082	1.43917	0
-102.1	-5554	-26473	16.0026	-101.843	-3029	6647	2.21252	111.841	2.55475	72.4493	0.744642	9.25598	-0.00011091	-0.0274658	3.09814	1.50605	0
-102.05	-5563	-26470	15.999	-101.827	-3244	7060	2.47467	108.545	2.36833	67.912	0.874513	19.5776	-0.00022182	0.0219727	2.79053	1.35627	0
-102	-5572	-26465	15.9983	-101.882	-3509	6475	2.28821	123.168	2.51195	75.2618	0.773274	5.48218	0.00014788	0.0164795	2.49939	1.21458	0
-101.95	-5553	-26473	16.0015	-101.854	-3609	6160	2.27631	116.06	2.57802	67.9669	0.726165	19.3799	-3.69699e-05	-0.0109863	1.88965	0.918023	0
-101.9	-5560	-26469	16.0015	-101.854	-3501	6187	2.23114	116.741	2.39004	71.9495	0.862349	11.3544	-3.69699e-05	-0.0164795	2.29065	1.11303	0
-101.85	-5552	-26468	15.9983	-101.838	-3504	6941	2.44171	112.297	2.47596	77.3877	0.81594	0.444946	-0.00014788	0.0164795	2.0105	0.976781	0
-101.8	-5564	-26479	16.0048	-101.876	-3340	5524	2.0697	120.289	2.57461	73.2239	0.73173	7.95959	0.00011091	-0.0384521	1.4447	0.701755	0
-101.75	-5561	-26475	16.007	-101.838	-2604	6577	2.15912	107.452	2.62641	69.093	0.704981	16.106	-0.00014788	-0.0384521	1.53809	0.747137	0
-101.7	-5561	-26476	16.0033	-101.86	-3169	6266	2.10938	117.048	2.5197	78.8763	0.763543	0.845947	0	-0.0274658	0.65918	0.320139	0
-101.65	-5550	-26470	16.0008	-101.882	-3966	6189	2.15637	122.975	2.52529	69.9609	0.769344	14.6832	0.00014788	0.00549316	0.65918	0.320139	0
-101.6	-5562	-26472	16.0023	-101.854	-2878	6745	2.25006	114.835	2.57616	71.7682	0.729859	12.1729	-3.69699e-05	-0.0109863	0.807495	0.392179	0
-101.55	-5558	-26471	16.0012	-101.849	-3501	6187	2.31934	112.341	2.46728	71.7133	0.792361	11.2335	-7.39399e-05	-0.0109863	0.714111	0.34682	0
-101.5	-5569	-26470	16.0019	-101.854	-3704	6311	2.22931	114.494	2.56933	71.3727	0.738093	12.2443	-3.69699e-05	-0.00549316	0.823975	0.400183	0
-101.45	-5556	-26478	16.0037	-101.86	-2714	6553	2.10236	116.115	2.61028	71.1804	0.711509	12.9584	0	-0.0384521	1.06018	0.514926	0
-101.4	-5559	-26481	16.0052	-101.86	-2601	6592	2.03949	116.45	2.48651	73.949	0.796665	7.83875	0	-0.0384521	0.0109863	0.00533541	0
-101.35	-5545	-26470	15.9994	-101.816	-3038	6955	2.44507	108.561	2.42944	72.8888	0.825858	9.06372	-0.00029576	0.00549316	0.582275	0.282786	0
-101.3	-5555	-26475	16.0008	-101.86	-2914	6689	2.20154	116.878	2.54514	70.9167	0.748759	12.843	0	-0.0274658	-0.137329	-0.0666928	0
-101.25	-5564	-26475	16.0041	-101.86	-2507	6443	2.10632	113.654	2.51691	74.8718	0.770092	5.88867	0	-0.0439453	0.0219727	0.0106708	0
-101.2	-5550	-26471	16.0001	-101.86	-3731	5972	2.23511	116.669	2.35871	72.4109	0.860291	9.38782	0	-0.0109863	-0.126343	-0.0613573	0
-101.15	-5557	-26474	16.0041	-101.838	-2488	7091	2.23969	109.017	2.51815	71.4331	0.761858	13.0847	-0.00014788	-0.0274658	0.142822	0.0693605	0
-101.1	-5553	-26473	16.0008	-101.86	-3443	5985	2.18933	117.411	2.46077	71.2463	0.801905	12.6617	0	-0.0219727	-0.20874	-0.101373	0
-101.05	-5554	-26472	16.0026	-101.86	-3375	5945	2.15332	115.296	2.41982	69.906	0.839706	14.5679	0	-0.0274658	0.598755	0.29079	0
-101	-5561	-26465	15.9961	-101.843	-3423	7096	2.48444	114.928	2.404	77.1899	0.838583	1.47766	-0.00011091	0.0274658	0.615234	0.298794	0
-100.95	-5554	-26467	15.9976	-101.849	-3300	6832	2.41699	115.247	2.53769	72.0923	0.749882	11.5741	-7.39399e-05	0.0109863	1.10413	0.536275	0
-100.9	-5559	-26473	16.0012	-101.86	-3220	6504	2.16431	118.526	2.45611	77.3602	0.804712	1.47766	0	-0.00549316	0.549316	0.266779	0
-100.85	-5562	-26473	16.0033	-101.854	-3000	6555	2.18689	115.109	2.40803	71.2354	0.832408	12.3871	-3.69699e-05	-0.0274658	0.55481	0.269447	0
-100.8	-5552	-26469	15.9979	-101.849	-3397	6985	2.39075	116.219	2.43378	76.5198	0.832034	1.54358	-7.39399e-05	0.0219727	1.24146	0.602996	0
-100.75	-5555	-26478	16.0019	-101.843	-2699	6746	2.2702	112.033	2.45177	75.4266	0.804338	4.78455	-0.00011091	-0.0109863	0.791016	0.384174	0
-100.7	-5555	-26468	16.0008	-101.86	-2957	6625	2.24915	116.125	2.27837	75.2069	0.911004	5.65247	0	-0.00549316	0.455933	0.221424	0
-100.65	-5560	-26472	15.9983	-101.86	-3646	6578	2.28577	118.152	2.53304	72.4274	0.754935	10.8545	0	0.0219727	0.725098	0.352156	0
-100.6	-5548	-26469	15.9968	-101.827	-3966	6210	2.38403	113.291	2.60687	72.702	0.715107	9.76685	-0.00022182	0.00549316	1.19202	0.578975	0
-100.55	-5548	-26478	16.003	-101.854	-2912	7158	2.20673	115.472	2.5439	75.0861	0.753063	5.00977	-3.69699e-05	0	1.8457	0.896659	0
-100.5	-5564	-26470	16.003	-101.854	-3620	6464	2.19391	116.005	2.4406	77.7502	0.815192	1.64795	-3.69699e-05	0.00549316	1.83472	0.891318	0
-100.45	-5567	-26465	15.9976	-101.849	-3101	7464	2.40387	115.741	2.56468	71.3013	0.75849	12.2552	-7.39399e-05	0.0219727	2.4884	1.20923	0
-100.4	-5569	-26473	16.0048	-101.882	-3697	5558	2.03766	123.613	2.42168	75.3168	0.845133	5.7074	0.00014788	-0.0274658	2.19177	1.06493	0
-100.35	-5564	-26474	16.0037	-101.86	-2961	6609	2.1283	115.021	2.61307	71.5265	0.719104	12.5244	0	-0.0274658	1.32935	0.6457	0
-100.3	-5559	-26473	16.0026	-101.887	-3572	5762	2.05994	123.915	2.42726	77.525	0.829414	0.944824	0.00018485	-0.0439453	1.66443	0.808542	0
-100.25	-5554	-26475	16.0023	-101.827	-2339	7166	2.30042	108.067	2.58143	67.7252	0.724966	17.8253	-0.00022182	-0.0219727	2.15881	1.0489	0
-100.2	-5564	-26474	16.0023	-101.86	-3007	6074	2.14874	115.389	2.35716	78.8763	0.870583	1.43372	0	-0.0384521	2.14233	1.04089	0
-100.15	-5559	-26472	16.0019	-101.854	-3153	6449	2.23785	113.093	2.34382	72.4933	0.879191	10.2942	-3.69699e-05	-0.0109863	2.27966	1.10768	0
-100.1	-5547	-26471	15.9979	-101.827	-2930	6965	2.4176	111.138	2.43006	74.1193	0.822864	7.1521	-0.00022182	0	1.95557	0.950072	0
-100.05	-5566	-26472	16.0041	-101.871	-3062	6294	2.10602	118.515	2.39593	80.7111	0.859917	-2.86743	7.39399e-05	-0.0219727	2.005	0.97411	0
-99.9999	-5566	-26475	16.0048	-101.876	-2876	6745	2.04834	121.481	2.44836	73.4326	0.813694	8.16833	0.00011091	-0.0219727	2.26868	1.10234	0
-99.9499	-5562	-26474	16.0008	-101.86	-3663	6382	2.17712	116.614	2.48589	76.5582	0.791613	2.46643	0	0.00549316	1.95007	0.947401	0
-99.8998	-5561	-26474	16.0023	-101.843	-2549	6825	2.27692	110.72	2.70799	71.6089	0.667941	12.6398	-0.00011091	-0.0274658	1.32385	0.643031	0
-99.8498	-5553	-26475	16.0019	-101.86	-2673	6619	2.15576	113.934	2.48372	65.5664	0.79049	23.1537	0	-0.0439453	1.04919	0.509589	0
-99.7998	-5557	-26473	16.0037	-101.876	-3657	5626	2.08038	121.196	2.28364	74.3829	0.928033	6.61926	0.00011091	-0.0439453	1.45569	0.707094	0
-99.7498	-5566	-26470	15.9997	-101.871	-3370	6862	2.23419	120.405	2.45828	71.9165	0.806022	11.6565	7.39399e-05	0.0109863	1.31287	0.637693	0
-99.6998	-5561	-26476	16.0059	-101.882	-3714	5380	2.00378	122.415	2.47845	80.4034	0.787309	-1.06018	0.00014788	-0.0384521	0.884399	0.429535	0
-99.6498	-5560	-26474	16.0026	-101.86	-3153	6449	2.17682	114.274	2.37112	70.4663	0.8558	14.09	0	-0.0274658	1.33484	0.64837	0
-99.5998	-5568	-26472	15.999	-101.854	-3427	6614	2.35352	116.472	2.44495	76.3989	0.813882	2.31812	-3.69699e-05	0.0109863	1.39526	0.677731	0
-99.5498	-5563	-26474	16.0015	-101.843	-2285	6946	2.27325	109.852	2.45301	72.323	0.805461	10.7446	-0.00011091	-0.0384521	1.38428	0.672392	0
-99.4998	-5556	-26475	16.0041	-101.876	-3477	5611	2.08221	119.674	2.37112	75.1245	0.854864	5.81726	0.00011091	-0.0439453	0.65918	0.320139	0
-99.4498	-5561	-26468	15.999	-101.854	-3838	6864	2.34497	115.67	2.48279	75.2014	0.788806	4.2572	-3.69699e-05	0.0384521	1.26892	0.616341	0
-99.3998	-5554	-26473	15.9994	-101.838	-2885	7504	2.40784	112.423	2.52529	77.7228	0.769905	0.488892	-0.00014788	0.0109863	0.22522	0.109376	0
-99.3498	-5547	-26477	16.0033	-101.838	-2680	6628	2.23022	111.363	2.62951	70.2576	0.70578	15.0568	-0.00014788	-0.0384521	0.895386	0.434871	0
-99.2998	-5566	-26475	16.0026	-101.86	-2955	6327	2.14661	116.823	2.35437	68.28	0.877507	16.5125	0	-0.0439453	-0.653687	-0.317471	0
-99.2498	-5550	-26472	16.0008	-101.838	-3146	6633	2.323	112.341	2.59167	72.9108	0.7247	10.0305	-0.00014788	-0.0109863	-0.126343	-0.0613573	0
-99.1998	-5559	-26478	16.0026	-101.843	-2828	6534	2.25586	112.593	2.5135	67.8076	0.769905	19.3634	-0.00011091	-0.032959	-0.527344	-0.256107	0
-99.1498	-5561	-26478	16.0026	-101.838	-2482	7259	2.2757	109.863	2.51691	64.6216	0.784689	25.2905	-0.00014788	-0.00549316	-0.543823	-0.264111	0
-99.0998	-5566	-26467	15.999	-101.86	-3444	6912	2.23846	119.015	2.29605	77.8876	0.906513	1.18103	0	0.0109863	-1.32385	-0.643031	0
-99.0498	-5559	-26482	16.0059	-101.854	-3358	5824	2.1109	114.659	2.55755	75.4871	0.742022	4.0979	-3.69699e-05	-0.0384521	-0.697632	-0.338815	0
-98.9998	-5555	-26479	16.0059	-101.854	-2274	7133	2.11365	112.258	2.56096	68.3954	0.743519	17.4188	-3.69699e-05	-0.0439453	-0.477905	-0.232096	0
-98.9498	-5559	-26475	16.0023	-101.849	-3048	6480	2.21252	114.142	2.48558	74.1742	0.78918	7.36084	-7.39399e-05	-0.0274658	-1.03271	-0.501583	0
-98.8998	-5562	-26466	15.9979	-101.865	-3792	6184	2.30286	119.894	2.45921	73.5864	0.806958	7.32788	3.69699e-05	0.00549316	-1.13159	-0.549619	0
-98.8498	-5548	-26479	16.0015	-101.827	-2840	6823	2.32178	108.479	2.61927	71.0266	0.706979	14.1229	-0.00022182	-0.0274658	-1.00525	-0.48824	0
-98.7998	-5547	-26477	16.0019	-101.827	-2370	7281	2.25616	109.501	2.60097	71.5265	0.718304	11.4972	-0.00022182	-0.0274658	-0.807495	-0.392179	0
-98.7498	-5559	-26474	16.0015	-101.827	-2482	7259	2.30927	109.792	2.47193	70.8508	0.800595	14.2328	-0.00022182	-0.0109863	-1.29639	-0.629686	0
-98.6998	-5551	-26480	16.0044	-101.838	-2812	6715	2.20673	110.072	2.59198	70.0159	0.722035	14.5349	-0.00014788	-0.0219727	-1.30188	-0.632355	0
-98.6498	-5561	-26481	16.0062	-101.838	-2441	6863	2.08954	110.918	2.62052	66.1597	0.721502	21.2805	-0.00014788	-0.0384521	-1.9281	-0.936718	0
-98.5998	-5548	-26476	16.0023	-101.86	-2723	6094	2.0874	118.18	2.51381	72.4658	0.777765	8.85498	0	-0.0439453	-1.24146	-0.602996	0
-98.5498	-5557	-26470	15.9987	-101.838	-3148	7385	2.39136	112.077	2.56499	66.5002	0.746701	22.4945	-0.00014788	0.0219727	-1.35681	-0.659046	0
-98.4998	-5565	-26476	16.0059	-101.854	-2757	6960	2.11914	113.192	2.46201	74.2841	0.800408	6.99829	-3.69699e-05	-0.0219727	-1.43921	-0.699086	0
-98.4498	-5554	-26477	16.0026	-101.871	-2924	6689	2.11792	119.421	2.46232	73.114	0.805086	8.86597	7.39399e-05	-0.0219727	-1.604	-0.779173	0
