Time	R1M7WFSIMES	R1M7WFSQMES	R1M7WFSGMES	R1M7WFSPMES	R1M7WFSIASK	R1M7WFSQASK	R1M7WFSGASK	R1M7WFSPASK	R1M7WFSCRFP	R1M7WFSCRFPP	R1M7WFSCRRP	R1M7WFSCRRPP	R1M7WFSGLDE	R1M7WFSPLDE	R1M7WFSDETA2	R1M7WFSCFQE2	R1M7WFSDFQES
-102.4	-5460	22661	15.0054	103.557	-6626	9151	3.40485	125.03	2.11764	-48.2135	0.472337	-167.64	-0.000257455	-0.032959	-5.5481	-2.10134	-0.00325963
-102.35	-5456	22662	15.0031	103.53	-7215	7990	3.22723	131.759	2.13462	-47.9333	0.468759	-168.673	-4.29092e-05	-0.0164795	-5.77881	-2.1893	-0.00325963
-102.3	-5457	22658	14.9991	103.546	-7607	8696	3.55469	129.771	2.17966	-48.3014	0.458769	-167.893	-0.000171637	0.0109863	-5.61401	-2.12646	-0.00325963
-102.25	-5455	22655	15.0003	103.524	-6903	8503	3.27698	132.589	2.09032	-51.9269	0.513192	-161.548	0	-0.0164795	-6.17432	-2.34027	-0.00325963
-102.2	-5465	22655	14.9999	103.535	-6950	9584	3.50769	132.116	1.97403	-53.1848	0.547486	-160.521	-8.58185e-05	-0.0109863	-5.69092	-2.15578	-0.00325963
-102.15	-5461	22661	15.0023	103.546	-6595	9021	3.47137	127.678	2.03937	-50.0922	0.554643	-165.015	-0.000171637	-0.032959	-6.58081	-2.49567	-0.00325963
-102.1	-5471	22658	15.0038	103.557	-6816	9035	3.45337	127.029	2.06965	-50.8667	0.502158	-161.823	-0.000257455	-0.0274658	-6.20178	-2.35076	-0.00325963
-102.05	-5469	22663	15.0074	103.557	-6595	9021	3.29712	125.349	2.27713	-52.8772	0.423133	-154.99	-0.000257455	-0.0384521	-6.36658	-2.41374	-0.00325963
-102	-5460	22664	15.0058	103.535	-6504	8965	3.22571	130.056	2.07925	-48.5596	0.51021	-171.667	-8.58185e-05	-0.0439453	-6.84448	-2.5966	-0.00325963
-101.95	-5460	22665	15.0027	103.541	-6817	8454	3.41034	128.925	2.13352	-54.1791	0.513192	-159.12	-0.000128728	-0.0274658	-6.89392	-2.61554	-0.00325963
-101.9	-5451	22652	14.9975	103.568	-7326	10513	3.75427	126.848	2.07518	-50.9052	0.523331	-162.334	-0.000343274	0.0274658	-7.229	-2.74399	-0.00325963
-101.85	-5472	22651	14.996	103.557	-7808	9518	3.76801	128.925	2.14865	-46.1041	0.473083	-168.728	-0.000257455	0.032959	-7.0697	-2.6829	-0.00325963
-101.8	-5470	22657	14.9987	103.546	-7642	8834	3.65295	128.271	2.13056	-48.587	0.497237	-165.015	-0.000171637	0.0109863	-7.27295	-2.76085	-0.00325963
-101.75	-5467	22664	15.007	103.563	-6166	9341	3.38776	123.201	2.16416	-54.5966	0.504693	-155.045	-0.000300365	-0.0549316	-7.38281	-2.80302	-0.00325963
-101.7	-5469	22661	15.0074	103.563	-5769	9219	3.40149	121.58	2.01575	-51.1963	0.56016	-166.575	-0.000300365	-0.065918	-7.64648	-2.90431	-0.00325963
-101.65	-5454	22652	15.0007	103.546	-7193	9380	3.54645	128.677	2.05525	-53.0585	0.542565	-156.78	-0.000171637	0	-7.50916	-2.85154	-0.00325963
-101.6	-5468	22647	14.9987	103.563	-7365	9482	3.69263	127.991	2.09807	-50.0317	0.518112	-163.949	-0.000300365	0.0109863	-7.74536	-2.94232	-0.00325963
-101.55	-5454	22661	15.0023	103.552	-7278	9430	3.47137	127.678	2.19074	-51.5863	0.487546	-158.763	-0.000214546	0	-7.91016	-3.00572	-0.00325963
-101.5	-5472	22657	15.0031	103.552	-7011	9533	3.44086	127.903	2.11173	-52.4158	0.544354	-156.22	-0.000214546	-0.0109863	-8.30017	-3.15596	-0.00325963
-101.45	-5474	22658	15.0031	103.59	-6340	9478	3.75427	120.547	2.09032	-52.3334	0.550766	-158.176	-0.000514911	-0.032959	-8.55835	-3.25558	-0.00325963
-101.4	-5458	22659	15.0023	103.541	-6416	8585	3.44086	127.903	2.12835	-50.8502	0.525865	-163.339	-0.000128728	-0.032959	-8.87695	-3.3787	-0.00325963
-101.35	-5464	22660	15.0058	103.563	-6101	9099	3.41278	123.81	2.05562	-54.0637	0.539136	-159.966	-0.000300365	-0.0604248	-8.37708	-3.18562	-0.00325963
-101.3	-5459	22660	15.0062	103.557	-5864	8721	3.27606	123.882	2.11136	-54.8218	0.528997	-158.928	-0.000257455	-0.0823975	-8.08044	-3.07128	-0.00325963
-101.25	-5463	22653	15.0019	103.535	-6754	9376	3.38043	130.798	2.06263	-52.218	0.599821	-163.9	-8.58185e-05	-0.0274658	-8.89893	-3.3872	-0.00325963
-101.2	-5459	22659	14.9999	103.574	-7062	9445	3.67493	125.195	2.2295	-51.0425	0.512148	-159.153	-0.000386183	0	-8.9209	-3.3957	-0.00325963
-101.15	-5476	22659	15.0031	103.601	-6526	10524	3.79791	119.328	2.22618	-47.7795	0.441473	-166.696	-0.000600729	-0.0164795	-8.44849	-3.21317	-0.00325963
-101.1	-5463	22671	15.0086	103.552	-5860	9304	3.22021	123.437	2.14939	-49.7351	0.487247	-166.547	-0.000214546	-0.065918	-8.62427	-3.28104	-0.00325963
-101.05	-5468	22655	15.0054	103.563	-5705	9564	3.48328	124.904	2.22323	-56.9147	0.527804	-153.259	-0.000300365	-0.065918	-9.18457	-3.49778	-0.00325963
-101	-5468	22656	15.0042	103.552	-6620	8825	3.37921	126.387	1.95446	-49.0649	0.611302	-168.201	-0.000214546	-0.0384521	-9.26147	-3.52758	-0.00325963
-100.95	-5470	22656	15.0015	103.568	-7753	8694	3.55896	127.051	2.11247	-50.4272	0.55181	-163.949	-0.000343274	0.0109863	-9.36584	-3.56805	-0.00325963
-100.9	-5471	22658	15.0023	103.574	-6409	9750	3.62976	123.294	2.10915	-52.4982	0.538241	-157.28	-0.000386183	-0.0274658	-9.11865	-3.47225	-0.00325963
-100.85	-5475	22666	15.0094	103.563	-5900	8862	3.24707	122.448	2.25719	-52.8497	0.499325	-158.901	-0.000300365	-0.0823975	-9.245	-3.5212	-0.00325963
-100.8	-5466	22666	15.0074	103.568	-6137	8653	3.41156	121.525	2.10398	-53.2123	0.538688	-159.653	-0.000343274	-0.0604248	-9.08569	-3.45948	-0.00325963
-100.75	-5473	22660	15.0054	103.59	-6083	9906	3.64685	119.641	2.16563	-52.196	0.505587	-160.692	-0.000514911	-0.0384521	-9.0033	-3.42758	-0.00325963
-100.7	-5478	22658	15.0015	103.585	-6132	9821	3.73871	122.003	2.30186	-55.6018	0.498281	-153.089	-0.000472002	-0.032959	-9.37683	-3.57231	-0.00325963
-100.65	-5466	22656	15.0019	103.546	-6703	9465	3.47687	129.199	2.04233	-49.7791	0.548082	-167.366	-0.000171637	-0.0164795	-9.03625	-3.44034	-0.00325963
-100.6	-5465	22652	14.996	103.574	-7590	9532	3.88367	126.052	2.14238	-54.7668	0.561203	-150.189	-0.000386183	0.0219727	-9.01978	-3.43396	-0.00325963
-100.55	-5458	22652	15.0007	103.574	-7390	9292	3.67218	124.129	2.09401	-50.3284	0.542863	-161.505	-0.000386183	0	-8.97583	-3.41695	-0.00325963
-100.5	-5473	22660	15.0062	103.574	-5961	10057	3.43079	122.866	2.19923	-53.7561	0.529146	-158.231	-0.000386183	-0.0439453	-9.37683	-3.57231	-0.00325963
-100.45	-5466	22668	15.0121	103.557	-5429	9972	3.17108	122.432	2.10029	-52.5256	0.536154	-163.976	-0.000257455	-0.0823975	-8.93738	-3.40208	-0.00325963
-100.4	-5462	22660	15.007	103.535	-6431	9291	3.20862	129.276	2.16379	-53.476	0.519603	-158.983	-8.58185e-05	-0.0494385	-8.55286	-3.25346	-0.00325963
-100.35	-5465	22652	15.0003	103.546	-6823	9409	3.50891	128.886	2.16268	-53.6627	0.517665	-155.544	-0.000171637	-0.00549316	-8.66272	-3.29589	-0.00325963
-100.3	-5454	22651	14.9983	103.541	-7627	9430	3.59467	130.924	2.14238	-49.7351	0.488291	-163.229	-0.000128728	0.0274658	-8.23425	-3.13055	-0.00325963
-100.25	-5465	22665	15.007	103.563	-6823	9409	3.43262	124.008	2.08331	-50.3503	0.527953	-163.334	-0.000300365	-0.0384521	-7.91565	-3.00783	-0.00325963
-100.2	-5466	22670	15.0078	103.53	-6315	7934	3.16681	126.634	2.08774	-53.3661	0.527506	-159.346	-4.29092e-05	-0.065918	-7.67944	-2.91698	-0.00325963
-100.15	-5467	22667	15.0062	103.563	-6188	8909	3.41949	124.481	2.12539	-49.9658	0.504096	-165.344	-0.000300365	-0.0549316	-7.3938	-2.80724	-0.00325963
-100.1	-5464	22655	15.0023	103.568	-6978	9153	3.51929	125.744	2.17449	-47.3291	0.462496	-169.788	-0.000343274	-0.0219727	-6.80603	-2.58187	-0.00325963
-100.05	-5462	22650	15.0023	103.546	-7389	9049	3.45093	128.551	2.21068	-50.0867	0.475468	-163.839	-0.000171637	0	-7.0697	-2.6829	-0.00325963
-99.9999	-5469	22655	15.0007	103.601	-7116	9703	3.93646	121.003	2.11543	-49.2792	0.512446	-166.69	-0.000600729	0	-7.1521	-2.71449	-0.00325963
-99.9499	-5469	22656	15.0007	103.563	-7162	10200	3.65509	125.612	2.0966	-51.3007	0.523927	-157.341	-0.000300365	0.0164795	-7.50916	-2.85154	-0.00325963
-99.8998	-5465	22660	15.0035	103.541	-6978	9153	3.3728	129.166	2.06817	-48.4222	0.507078	-166.24	-0.000128728	-0.0219727	-7.40479	-2.81146	-0.00325963
-99.8498	-5457	22661	15.0031	103.552	-7032	8484	3.45551	126.947	2.16896	-48.8013	0.47025	-164.817	-0.000214546	-0.0274658	-7.42676	-2.81989	-0.00325963
-99.7998	-5466	22660	15.0054	103.541	-6293	8155	3.28003	127.441	2.19406	-50.3394	0.477407	-165.85	-0.000128728	-0.0714111	-7.29492	-2.76928	-0.00325963
-99.7498	-5457	22664	15.0038	103.557	-6327	8292	3.43506	125.156	1.99101	-55.5853	0.572237	-159.12	-0.000257455	-0.0604248	-7.26746	-2.75875	-0.00325963
-99.6998	-5467	22654	15.0031	103.568	-6548	9479	3.55621	124.382	2.02904	-54.8218	0.567466	-156.55	-0.000343274	-0.0219727	-7.50916	-2.85154	-0.00325963
-99.6498	-5460	22657	14.9967	103.546	-7303	8997	3.64197	130.172	2.09291	-48.0597	0.517665	-168.613	-0.000171637	0	-7.38281	-2.80302	-0.00325963
-99.5998	-5452	22663	15.005	103.535	-7342	8557	3.31512	128.815	2.23873	-51.1414	0.449226	-154.578	-8.58185e-05	-0.032959	-7.41577	-2.81567	-0.00325963
-99.5498	-5476	22658	15.0062	103.552	-6087	9084	3.35144	124.519	2.28267	-50.0153	0.445647	-164.372	-0.000214546	-0.0604248	-7.75635	-2.94654	-0.00325963
-99.4998	-5468	22662	15.009	103.557	-5864	9095	3.26172	123.052	2.14939	-54.0637	0.517814	-156.885	-0.000257455	-0.0769043	-7.94312	-3.0184	-0.00325963
-99.4498	-5457	22653	15.0042	103.535	-6895	8550	3.29254	130.199	2.08072	-51.3007	0.553152	-164.312	-8.58185e-05	-0.0219727	-7.91565	-3.00783	-0.00325963
-99.3998	-5461	22654	14.9995	103.541	-7252	8530	3.5141	130.364	2.04934	-49.7241	0.541223	-164.905	-0.000128728	-0.00549316	-7.72888	-2.93598	-0.00325963
-99.3498	-5471	22659	15.0027	103.557	-6908	9491	3.5144	126.112	2.07297	-51.7731	0.507973	-160.186	-0.000257455	-0.0164795	-7.02576	-2.66605	-0.00325963
-99.2998	-5458	22667	15.0058	103.546	-6477	9234	3.29895	126.843	2.10656	-51.4655	0.509017	-161.444	-0.000171637	-0.0384521	-7.21252	-2.73767	-0.00325963
-99.2498	-5460	22662	15.0058	103.563	-5895	9815	3.46741	124.129	2.05709	-53.2562	0.532724	-160.351	-0.000300365	-0.0439453	-7.01477	-2.66184	-0.00325963
-99.1998	-5461	22656	15.0031	103.568	-6856	9578	3.53607	124.091	2.01722	-48.0048	0.537048	-167.866	-0.000343274	-0.00549316	-7.48718	-2.8431	-0.00325963
-99.1498	-5465	22662	15.0042	103.563	-6018	8839	3.48022	123.668	2.08995	-53.421	0.5202	-162.274	-0.000300365	-0.0549316	-7.54211	-2.8642	-0.00325963
-99.0998	-5474	22656	15.0031	103.557	-6393	9185	3.44635	126.189	2.10693	-53.7177	0.508868	-156.918	-0.000257455	-0.0384521	-7.30591	-2.7735	-0.00325963
-99.0498	-5461	22656	15.0042	103.541	-6980	8016	3.29437	128.518	2.01427	-52.4323	0.571044	-162.724	-0.000128728	-0.0274658	-7.58057	-2.87897	-0.00325963
-98.9998	-5462	22652	14.9991	103.568	-7492	9496	3.70361	125.277	2.08958	-46.9391	0.520349	-168.701	-0.000343274	0.0219727	-7.28394	-2.76507	-0.00325963
-98.9498	-5480	22657	15.0062	103.563	-6670	8533	3.32214	125.865	2.20514	-47.9718	0.456085	-167.223	-0.000300365	-0.0494385	-6.93787	-2.63237	-0.00325963
-98.8998	-5460	22660	15.0042	103.535	-6411	8961	3.29254	130.199	2.20108	-51.3556	0.455339	-161.823	-8.58185e-05	-0.0384521	-7.08618	-2.68922	-0.00325963
-98.8498	-5470	22662	15.0094	103.563	-5830	8958	3.26141	121.849	2.17006	-54.6899	0.499176	-158.983	-0.000300365	-0.0823975	-6.97632	-2.64711	-0.00325963
-98.7998	-5467	22652	14.9999	103.552	-6927	8684	3.59436	128.205	2.10656	-48.7189	0.519007	-168.981	-0.000214546	-0.0274658	-7.58057	-2.87897	-0.00325963
-98.7498	-5472	22646	14.9983	103.579	-7063	9237	3.76801	124.184	2.08737	-50.8447	0.541521	-162.609	-0.000429092	0	-7.6355	-2.90008	-0.00325963
-98.6998	-5458	22656	15.0027	103.541	-7045	9460	3.36975	129.54	2.09734	-48.2794	0.521094	-167.975	-0.000128728	-0.00549316	-7.97058	-3.02897	-0.00325963
-98.6498	-5468	22667	15.0078	103.563	-5692	9576	3.35724	123.261	2.15456	-52.6685	0.505289	-156.775	-0.000300365	-0.065918	-7.78931	-2.95922	-0.00325963
-98.5998	-5466	22664	15.0098	103.563	-5758	8681	3.31635	121.152	2.05156	-49.01	0.544653	-168.75	-0.000300365	-0.0823975	-8.08594	-3.0734	-0.00325963
-98.5498	-5466	22662	15.0058	103.563	-5916	9009	3.42773	124.376	2.12835	-54.7064	0.532426	-156.775	-0.000300365	-0.065918	-7.86072	-2.98669	-0.00325963
-98.4998	-5459	22655	15.0023	103.541	-6388	9169	3.43658	127.809	2.1553	-53.0859	0.51185	-160.582	-0.000128728	-0.0384521	-8.3551	-3.17714	-0.00325963
-98.4498	-5460	22657	15.005	103.563	-6403	8945	3.4906	124.36	2.16637	-51.9434	0.497536	-160.192	-0.000300365	-0.0494385	-8.01453	-3.04589	-0.00325963
-98.3998	-5481	22654	14.9999	103.601	-7140	9856	3.9798	122.723	2.17265	-51.7126	0.512595	-159.576	-0.000600729	0.032959	-8.17932	-3.10937	-0.00325963
-98.3498	-5468	22662	15.0054	103.546	-6815	9425	3.36212	126.771	2.14164	-49.5593	0.519305	-161.938	-0.000171637	-0.0274658	-8.3551	-3.17714	-0.00325963
-98.2998	-5473	22657	15.0027	103.563	-6694	9236	3.52234	125.673	2.11432	-49.2242	0.493361	-161.911	-0.000300365	-0.032959	-7.76184	-2.94866	-0.00325963
-98.2497	-5453	22666	15.0062	103.557	-6252	9788	3.3017	125.189	2.1025	-53.0859	0.514683	-160.247	-0.000257455	-0.0384521	-8.04199	-3.05647	-0.00325963
-98.1997	-5472	22664	15.0094	103.557	-5755	8672	3.24432	123.541	2.11506	-50.9326	0.530935	-166.97	-0.000257455	-0.0823975	-7.85522	-2.98458	-0.00325963
-98.1497	-5468	22655	15.0035	103.568	-6731	8790	3.59955	124.074	2.0235	-52.4158	0.570149	-163.229	-0.000343274	-0.032959	-7.98157	-3.0332	-0.00325963
-98.0997	-5464	22655	15.0015	103.557	-7093	9362	3.58368	127.139	2.0918	-51.6193	0.5284	-161.477	-0.000257455	0	-7.6355	-2.90008	-0.00325963
-98.0497	-5462	22658	15.0015	103.535	-7558	8006	3.43353	129.419	2.17634	-46.6754	0.467268	-167.053	-8.58185e-05	0.00549316	-7.22351	-2.74189	-0.00325963
-97.9997	-5466	22664	15.0082	103.53	-6204	8706	3.07922	127.694	2.21474	-51.0699	0.463242	-161.801	-4.29092e-05	-0.0714111	-7.24548	-2.75031	-0.00325963
-97.9497	-5485	22659	15.005	103.541	-6630	8378	3.37433	126.282	2.19222	-48.0157	0.446989	-169.486	-0.000128728	-0.0494385	-6.69617	-2.53981	-0.00325963
-97.8997	-5458	22657	15.0062	103.535	-6470	9218	3.24036	129.364	2.07002	-47.6807	0.526164	-169.678	-8.58185e-05	-0.0439453	-7.13562	-2.70817	-0.00325963
-97.8497	-5465	22651	14.9963	103.541	-7487	9482	3.6377	132.05	2.18114	-53.421	0.486353	-155.27	-0.000128728	0.0164795	-7.05872	-2.67869	-0.00325963
-97.7997	-5456	22653	14.9975	103.513	-7404	8263	3.41888	135.736	2.06891	-50.4053	0.507526	-162.213	8.58185e-05	0.00549316	-6.80054	-2.57977	-0.00325963
-97.7497	-5463	22652	15.0019	103.574	-7226	9322	3.66852	124.036	2.08626	-52.5861	0.501711	-158.231	-0.000386183	0	-6.5918	-2.49987	-0.00325963
-97.6997	-5456	22664	15.0042	103.541	-7235	7575	3.35815	128.408	1.91422	-47.807	0.570149	-169.536	-0.000128728	-0.0219727	-6.81152	-2.58398	-0.00325963
-97.6497	-5462	22661	15.007	103.568	-5853	10246	3.57025	121.685	2.08183	-48.3563	0.494255	-170.766	-0.000343274	-0.0384521	-5.9491	-2.25428	-0.00325963
-97.5997	-5459	22665	15.0106	103.535	-6198	9290	3.06152	126.958	2.09401	-51.0754	0.495896	-162.834	-8.58185e-05	-0.065918	-6.33911	-2.40324	-0.00325963
-97.5497	-5465	22658	15.0046	103.546	-6460	8279	3.34595	126.085	2.08626	-51.3501	0.51021	-163.784	-0.000171637	-0.0494385	-6.17432	-2.34027	-0.00325963
-97.4997	-5455	22653	15.0019	103.535	-7042	8861	3.39478	131.358	2.01501	-46.994	0.517963	-171.387	-8.58185e-05	-0.0274658	-5.87769	-2.22702	-0.00325963
-97.4497	-5465	22655	14.9987	103.541	-7314	8822	3.55438	129.974	2.16637	-49.6307	0.494106	-161.417	-0.000128728	0	-6.08093	-2.30461	-0.00325963
-97.3997	-5467	22654	14.9987	103.53	-7826	9132	3.35327	132.089	2.11247	-44.0002	0.457725	-176.105	-4.29092e-05	0.0274658	-5.45471	-2.06575	-0.00325963
-97.3497	-5471	22656	15.0078	103.574	-6264	9007	3.35999	120.839	2.15862	-50.4053	0.466075	-160.999	-0.000386183	-0.0714111	-5.63599	-2.13484	-0.00325963
-97.2997	-5459	22662	15.0038	103.574	-6661	9130	3.57697	122.684	2.13573	-49.5154	0.471592	-165.322	-0.000386183	-0.0219727	-5.5426	-2.09924	-0.00325963
-97.2497	-5453	22664	15.0066	103.535	-6042	8989	3.25989	127.051	2.00504	-52.262	0.565229	-163.839	-8.58185e-05	-0.0494385	-5.85571	-2.21864	-0.00325963
-97.1997	-5457	22637	14.9932	103.53	-7742	8499	3.64532	135.456	2.02941	-46.5546	0.513788	-171.612	-4.29092e-05	0.032959	-5.60852	-2.12437	-0.00325963
-97.1497	-5458	22652	14.9971	103.53	-7257	9493	3.47046	132.665	2.0283	-45.2362	0.520945	-172.304	-4.29092e-05	0	-5.64697	-2.13903	-0.00325963
-97.0997	-5462	22654	14.9987	103.541	-7155	9662	3.54523	130.424	2.10989	-48.6859	0.478301	-164.762	-0.000128728	0	-5.52612	-2.09296	-0.00325963
-97.0497	-5455	22669	15.0082	103.53	-6008	8266	3.05664	127.365	2.06152	-51.9708	0.525865	-162.021	-4.29092e-05	-0.0769043	-5.66895	-2.14741	-0.00325963
-96.9997	-5461	22659	15.0042	103.541	-6455	9474	3.27484	129.43	2.12835	-49.8505	0.48844	-166.465	-0.000128728	-0.032959	-5.67993	-2.15159	-0.00325963
-96.9497	-5468	22656	15.0038	103.574	-6470	9249	3.53607	122.904	2.03236	-49.5154	0.507824	-166.245	-0.000386183	-0.032959	-5.42725	-2.05529	-0.00325963
-96.8997	-5457	22656	15.0011	103.535	-7295	8462	3.38257	132.231	2.19332	-50.1196	0.467118	-165.125	-8.58185e-05	0.0109863	-5.99304	-2.27105	-0.00325963
-96.8497	-5466	22661	15.0042	103.563	-6728	8234	3.50983	123.799	2.06743	-51.3007	0.507675	-162.389	-0.000300365	-0.0384521	-6.24573	-2.36755	-0.00325963
-96.7997	-5459	22657	15.0023	103.557	-6747	9181	3.54492	126.222	2.13573	-47.049	0.492317	-169.876	-0.000257455	-0.0109863	-6.44897	-2.44524	-0.00325963
-96.7497	-5466	22661	15.009	103.535	-6609	8631	3.11951	126.013	2.11986	-46.8402	0.485906	-169.2	-8.58185e-05	-0.0494385	-6.32812	-2.39904	-0.00325963
-96.6997	-5467	22657	15.0031	103.557	-6930	9644	3.51593	126.03	2.23246	-51.1963	0.424624	-160.016	-0.000257455	-0.00549316	-6.30066	-2.38854	-0.00325963
-96.6497	-5466	22661	15.0019	103.579	-6400	9558	3.64532	122.673	2.19849	-53.3112	0.478599	-158.736	-0.000429092	-0.032959	-6.60278	-2.50407	-0.00325963
-96.5996	-5457	22653	15.0015	103.535	-6573	9076	3.37158	129.463	2.0438	-49.6967	0.559265	-166.663	-8.58185e-05	-0.0274658	-7.09167	-2.69132	-0.00325963
-96.5496	-5462	22651	14.9983	103.535	-7826	8550	3.53577	130.902	1.99138	-52.4432	0.57	-160.637	-8.58185e-05	0.0384521	-6.94336	-2.63448	-0.00325963
-96.4996	-5458	22653	15.0015	103.535	-6935	9062	3.43933	129.315	2.0918	-48.4222	0.525418	-165.24	-8.58185e-05	-0.0164795	-7.02026	-2.66395	-0.00325963
-96.4496	-5475	22662	15.0054	103.59	-6346	9619	3.71155	119.564	2.22064	-52.6959	0.466671	-154.655	-0.000514911	-0.032959	-6.96533	-2.6429	-0.00325963
-96.3996	-5470	22668	15.0113	103.557	-5186	9031	3.20312	121.317	2.18631	-52.3169	0.48516	-163.619	-0.000257455	-0.109863	-7.0752	-2.68501	-0.00325963
-96.3496	-5472	22659	15.0098	103.535	-5870	8281	3.21045	126.194	2.10952	-57.42	0.54674	-155.374	-8.58185e-05	-0.0933838	-7.7124	-2.92965	-0.00325963
-96.2996	-5468	22652	15.0003	103.546	-6788	9652	3.54065	128.936	2.18077	-51.5918	0.494703	-159.489	-0.000171637	-0.0109863	-7.77832	-2.955	-0.00325963
-96.2496	-5466	22650	14.9975	103.535	-7425	8986	3.61694	131.413	2.17856	-52.9596	0.510359	-158.505	-8.58185e-05	0.0109863	-8.21228	-3.12208	-0.00325963
-96.1996	-5464	22659	15.0031	103.557	-7068	9590	3.53912	126.277	2.21843	-52.8113	0.511701	-154.155	-0.000257455	-0.00549316	-8.55286	-3.25346	-0.00325963
-96.1496	-5474	22661	15.0058	103.574	-5778	9393	3.44818	122.305	1.96886	-47.2797	0.571491	-171.046	-0.000386183	-0.0604248	-8.50342	-3.23437	-0.00325963
-96.0996	-5474	22663	15.0058	103.574	-6261	8986	3.51624	122.3	2.12982	-51.449	0.53675	-160.884	-0.000386183	-0.0604248	-8.39355	-3.19198	-0.00325963
-96.0496	-5476	22659	15.0074	103.585	-5935	9720	3.50464	120.515	2.1948	-54.4263	0.495299	-158.681	-0.000472002	-0.0604248	-8.20129	-3.11784	-0.00325963
-95.9996	-5477	22664	15.0086	103.574	-6075	8520	3.40942	120.229	2.16305	-53.0914	0.526462	-161.686	-0.000386183	-0.0823975	-8.92639	-3.39783	-0.00325963
-95.9496	-5469	22656	15.0054	103.585	-6913	9261	3.66852	120.8	2.15345	-52.0203	0.524374	-162.773	-0.000472002	-0.0164795	-8.75061	-3.32985	-0.00325963
-95.8996	-5467	22657	15.0019	103.59	-7031	10033	3.78937	122.3	2.10435	-52.6355	0.554046	-155.94	-0.000514911	0.00549316	-9.34937	-3.56166	-0.00325963
-95.8496	-5476	22651	14.9995	103.585	-7337	10101	3.73688	123.964	2.19591	-50.8667	0.480985	-157.22	-0.000472002	0.00549316	-8.83301	-3.36171	-0.00325963
-95.7996	-5472	22667	15.0058	103.557	-6292	10288	3.38318	124.607	2.29042	-54.0198	0.483073	-150.831	-0.000257455	-0.0274658	-9.10767	-3.46799	-0.00325963
-95.7496	-5470	22656	15.0038	103.574	-5500	10629	3.61237	121.432	2.09955	-52.7948	0.529146	-160.944	-0.000386183	-0.0549316	-8.95386	-3.40845	-0.00325963
-95.6996	-5472	22663	15.009	103.563	-5868	8866	3.35266	123.234	1.99803	-56.6125	0.595646	-156.385	-0.000300365	-0.0769043	-9.09668	-3.46374	-0.00325963
-95.6496	-5467	22651	15.0011	103.574	-6536	9502	3.65601	124.431	2.13425	-52.6849	0.570746	-160.692	-0.000386183	-0.0164795	-9.28894	-3.53823	-0.00325963
-95.5996	-5468	22663	15.0027	103.557	-7070	9006	3.48267	125.892	2.08183	-53.7561	0.557326	-157.423	-0.000257455	-0.0164795	-8.98132	-3.41908	-0.00325963
-95.5496	-5473	22658	15.0074	103.541	-6714	7856	3.21564	127.414	2.19517	-48.7848	0.497983	-165.575	-0.000128728	-0.0384521	-9.01428	-3.43184	-0.00325963
-95.4996	-5472	22670	15.009	103.563	-5778	9393	3.35236	122.069	2.08663	-52.1631	0.555537	-162.109	-0.000300365	-0.0714111	-8.68469	-3.30438	-0.00325963
-95.4496	-5469	22661	15.0066	103.579	-5667	9592	3.48297	120.174	2.17043	-52.5531	0.504991	-161.505	-0.000429092	-0.065918	-8.98132	-3.41908	-0.00325963
-95.3996	-5472	22654	15.0011	103.579	-6061	10295	3.70117	124.102	2.15308	-51.7456	0.520796	-160.856	-0.000429092	-0.00549316	-9.06921	-3.4531	-0.00325963
-95.3496	-5468	22656	15.0011	103.574	-6663	9492	3.6203	124.579	2.16563	-51.4764	0.517814	-161.829	-0.000386183	-0.0164795	-9.23401	-3.51694	-0.00325963
