Time	R046WFSIMES	R046WFSQMES	R046WFSGMES	R046WFSPMES	R046WFSIASK	R046WFSQASK	R046WFSGASK	R046WFSPASK	R046WFSCRFP	R046WFSCRFPP	R046WFSCRRP	R046WFSCRRPP	R046WFSGLDE	R046WFSPLDE	R046WFSDETA2	R046WFSCFQE2	R046WFSDFQES
-102.4	6267	24036	14.605	75.3717	-6980	6195	2.87872	137.01	1.91722	164.943	0.889522	-102.068	-0.000201386	-0.0604248	0.477905	0.225393	-0.00651926
-102.35	6267	24021	14.6021	75.3607	-7782	6588	3.01086	140.565	2.03563	164.004	0.815439	-100.745	-0.000120831	0	-0.0823975	-0.0388599	-0.00651926
-102.3	6274	24039	14.6098	75.3607	-6576	5795	2.67273	137.873	1.79632	158.049	0.968825	-93.0872	-0.000120831	-0.0878906	-0.686646	-0.323848	-0.00651926
-102.25	6271	24027	14.6039	75.3662	-6899	5872	2.88055	137.681	1.87753	160.378	0.916982	-96.1853	-0.000161108	-0.065918	-0.999756	-0.471548	-0.00651926
-102.2	6264	24028	14.6043	75.3827	-7225	7073	2.98126	135.626	1.89787	162.301	0.909513	-98.3057	-0.00028194	-0.032959	-1.58752	-0.748892	-0.00651926
-102.15	6256	24020	14.5962	75.3772	-7461	6509	3.2019	140.565	1.75441	159.791	1.00936	-94.9878	-0.000241663	0.0109863	-2.60376	-1.22882	-0.00651926
-102.1	6269	24030	14.6065	75.3607	-7141	6510	2.84943	139.109	1.79136	159.769	0.988157	-94.4055	-0.000120831	-0.0439453	-3.41125	-1.6107	-0.00651926
-102.05	6270	24033	14.6058	75.3662	-7059	6270	2.86377	138.043	2.00123	153.001	0.867225	-84.9188	-0.000161108	-0.0549316	-4.18579	-1.9776	-0.00651926
-102	6276	24029	14.6032	75.3552	-7380	6507	2.90741	140.746	1.9321	158.286	0.896881	-92.5104	-8.05542e-05	-0.0164795	-4.63623	-2.1913	-0.00651926
-101.95	6263	24039	14.6124	75.3772	-5779	6278	2.65503	133.061	1.76041	152.589	1.02451	-87.182	-0.000241663	-0.131836	-5.15808	-2.43922	-0.00651926
-101.9	6252	24033	14.6072	75.4047	-6744	7313	3.02124	131.704	1.86066	156.379	0.963993	-91.6864	-0.000443048	-0.0494385	-5.81177	-2.75036	-0.00651926
