Time	R043WFSIMES	R043WFSQMES	R043WFSGMES	R043WFSPMES	R043WFSIASK	R043WFSQASK	R043WFSGASK	R043WFSPASK	R043WFSCRFP	R043WFSCRFPP	R043WFSCRRP	R043WFSCRRPP	R043WFSGLDE	R043WFSPLDE	R043WFSDETA2	R043WFSCFQE2	R043WFSDFQES
-102.4	12732	-16681	15.8015	-52.6355	3948	-10205	3.15735	-73.559	2.19965	-147.096	1.57054	-64.5447	0.000142966	-0.0109863	5.5481	2.61533	0.0130385
-102.35	12738	-16678	15.8051	-52.6355	4162	-8574	3.03253	-72.5098	2.26293	-148.42	1.51638	-64.3799	0.000142966	-0.032959	5.44373	2.56583	0.0130385
-102.3	12731	-16676	15.7975	-52.641	4769	-9710	3.30048	-68.4723	2.17408	-146.613	1.60828	-65.127	0.000190621	0.0109863	5.32837	2.51114	0.0130385
-102.25	12730	-16682	15.8006	-52.652	3431	-9536	3.16467	-66.1267	2.26581	-148.37	1.54272	-63.4241	0.000285932	-0.0274658	5.45471	2.57104	0.0130385
-102.2	12728	-16678	15.7993	-52.6245	3061	-10094	3.39355	-76.1572	2.26901	-149.139	1.52171	-61.6498	4.76554e-05	0	5.40527	2.5476	0.0130385
-102.15	12733	-16680	15.7984	-52.6575	4621	-9692	3.25134	-65.1654	2.2086	-147.145	1.59777	-64.9567	0.000333587	0.0109863	5.5426	2.61273	0.0130385
-102.1	12731	-16675	15.7984	-52.6465	4344	-9504	3.2135	-64.7424	2.27875	-146.942	1.48506	-64.7919	0.000238277	0	4.80103	2.26139	0.0130385
-102.05	12732	-16689	15.8078	-52.6245	3115	-9647	2.91199	-78.2446	2.29793	-149.848	1.45944	-62.1716	4.76554e-05	-0.032959	4.53186	2.13406	0.0162981
-102	12740	-16676	15.7988	-52.641	3551	-9805	3.26599	-69.0216	2.27204	-144.959	1.48585	-66.3464	0.000190621	0.00549316	4.61426	2.17303	0.0162981
-101.95	12733	-16682	15.8006	-52.6685	4414	-9010	3.13965	-61.8091	2.23305	-147.711	1.51416	-64.1162	0.000428898	-0.0109863	4.46594	2.10289	0.0162981
-101.9	12732	-16676	15.8038	-52.6355	4282	-8840	3.03894	-71.5814	2.29793	-152.935	1.46141	-57.3926	0.000142966	-0.032959	4.91638	2.31599	0.0162981
-101.85	12734	-16678	15.7988	-52.652	4613	-9795	3.23059	-66.8188	2.21787	-150.963	1.5405	-59.9194	0.000285932	0.0164795	4.65271	2.19121	0.0162981
-101.8	12728	-16681	15.8002	-52.6575	4561	-9028	3.08716	-63.1934	2.21771	-145.256	1.54627	-66.5497	0.000333587	-0.00549316	4.72961	2.2276	0.0162981
-101.75	12730	-16685	15.7979	-52.641	3236	-9918	3.27087	-67.2253	2.24264	-145.157	1.55456	-66.687	0.000190621	-0.0164795	5.03723	2.37321	0.0162981
-101.7	12730	-16685	15.802	-52.652	3253	-9766	3.07434	-65.072	2.17856	-147.112	1.55293	-63.6823	0.000285932	-0.0109863	4.60876	2.17043	0.0162981
-101.65	12724	-16683	15.7979	-52.6465	3976	-10012	3.38013	-65.6049	2.21355	-150.013	1.62515	-61.5179	0.000238277	0.0164795	5.61951	2.64921	0.0162981
-101.6	12729	-16686	15.7993	-52.6685	5066	-8641	3.12958	-60.6335	2.24695	-148.898	1.52555	-63.1439	0.000428898	-0.0164795	5.61951	2.64921	0.0162981
-101.55	12731	-16677	15.7979	-52.6355	3831	-9993	3.44818	-71.5045	2.22378	-146.31	1.5516	-66.264	0.000142966	0.0109863	5.24597	2.47209	0.0162981
-101.5	12722	-16685	15.7984	-52.6575	4037	-9563	3.26447	-64.3359	2.23353	-154.753	1.52526	-55.6622	0.000333587	0.0109863	5.29541	2.49552	0.0130385
-101.45	12732	-16679	15.802	-52.6355	4711	-9046	3.16315	-68.9612	2.25606	-141.564	1.57572	-70.4938	0.000142966	-0.0109863	6.00952	2.83439	0.0130385
-101.4	12730	-16683	15.8002	-52.641	2997	-9430	3.18237	-70.0818	2.23784	-146.656	1.55426	-65.5444	0.000190621	-0.0384521	6.04797	2.85266	0.0130385
-101.35	12723	-16682	15.7966	-52.652	4465	-9774	3.36761	-69.0765	2.28371	-149.584	1.50054	-62.0673	0.000285932	0.00549316	5.87219	2.76916	0.0130385
-101.3	12726	-16685	15.8024	-52.6465	3778	-9225	3.02094	-68.4778	2.32414	-147.557	1.52822	-65.0665	0.000238277	-0.0109863	6.30615	2.9754	0.0130385
-101.25	12730	-16675	15.7988	-52.6355	4387	-10367	3.40729	-71.1694	2.19214	-142.361	1.66836	-69.1315	0.000142966	0.0109863	6.55884	3.09565	0.0130385
-101.2	12733	-16682	15.8029	-52.6575	3987	-8801	3.01117	-65.3357	2.20381	-145.206	1.63003	-67.3407	0.000333587	-0.0274658	6.98181	3.29722	0.0130385
-101.15	12729	-16682	15.7988	-52.641	4337	-9604	3.30566	-69.4006	2.30192	-141.35	1.5624	-71.1969	0.000190621	0.0219727	7.32239	3.45978	0.0130385
-101.1	12725	-16683	15.7993	-52.6794	5641	-8866	3.21411	-58.678	2.25095	-150.661	1.60014	-60.5566	0.000524209	0	7.9541	3.76198	0.0130385
-101.05	12734	-16678	15.8006	-52.6355	4443	-9921	3.22266	-70.4443	2.22666	-149.469	1.63151	-61.1115	0.000142966	0.0164795	8.45947	4.0044	0.0130385
-101	12727	-16684	15.8006	-52.652	3763	-9415	3.18817	-65.3302	2.27172	-142.976	1.60828	-69.4336	0.000285932	-0.0109863	8.49243	4.02024	0.0130385
-100.95	12729	-16680	15.8002	-52.6575	5459	-9183	3.13568	-63.7317	2.31263	-144.47	1.55989	-66.8463	0.000333587	0	8.6792	4.11	0.0130385
-100.9	12724	-16685	15.7984	-52.6575	4281	-10089	3.30109	-63.7372	2.25159	-147.068	1.66407	-66.0059	0.000333587	0.0164795	9.35486	4.43551	0.0130385
-100.85	12721	-16684	15.7979	-52.6794	5161	-9147	3.2605	-59.2657	2.29521	-147.777	1.61509	-64.3799	0.000524209	0.0109863	9.56909	4.53898	0.0130385
-100.8	12725	-16684	15.797	-52.6685	4152	-9919	3.2605	-59.2657	2.29873	-141.746	1.63536	-72.6196	0.000428898	0.0219727	9.57458	4.54163	0.0130385
-100.75	12728	-16688	15.7984	-52.6575	4290	-8882	3.27576	-64.4019	2.3372	-143.509	1.57587	-69.7687	0.000333587	-0.0109863	9.86023	4.6798	0.0130385
-100.7	12715	-16685	15.7966	-52.6849	5251	-9614	3.34778	-57.42	2.29409	-142.899	1.6916	-71.0266	0.000571864	0.0164795	10.5469	5.01292	0.0130385
-100.65	12723	-16683	15.7988	-52.663	4100	-9157	3.19946	-63.5065	2.3834	-140.416	1.64276	-73.2404	0.000381243	-0.0164795	10.9479	5.20815	0.0130385
-100.6	12725	-16680	15.797	-52.652	4349	-10703	3.40149	-68.4613	2.2126	-140.482	1.77921	-71.6583	0.000285932	0.032959	11.1237	5.29389	0.0130385
-100.55	12714	-16692	15.8011	-52.6794	4734	-8936	3.11432	-55.9973	2.33465	-142.289	1.62604	-73.0096	0.000524209	-0.0109863	11.1621	5.31266	0.0130385
-100.5	12722	-16678	15.7961	-52.641	4320	-9789	3.40149	-68.4613	2.35775	-138.615	1.74399	-73.5919	0.000190621	0.0164795	12.2388	5.84032	0.0130385
-100.45	12718	-16691	15.797	-52.6685	5499	-8887	3.2962	-59.7601	2.32765	-144.597	1.71335	-69.939	0.000428898	0.00549316	12.7441	6.08946	0.0130385
-100.4	12719	-16679	15.7939	-52.6685	4392	-10408	3.50525	-64.1602	2.34084	-137.51	1.75938	-75.0421	0.000428898	0.032959	13.4143	6.42139	0.0130385
-100.35	12722	-16684	15.8002	-52.6904	6240	-8983	3.14423	-55.3766	2.33165	-141.35	1.78794	-72.345	0.00061952	0.0164795	13.3429	6.38593	0.0130385
-100.3	12720	-16686	15.7953	-52.674	5161	-9147	3.48022	-62.0673	2.34065	-133.929	1.75745	-80.2771	0.000476554	0.032959	13.2275	6.3287	0.0130385
-100.25	12729	-16684	15.7993	-52.6849	5251	-9614	3.18329	-57.0905	2.41522	-138.576	1.72356	-74.8993	0.000571864	0.0219727	13.8483	6.63731	0.0130385
-100.2	12721	-16680	15.797	-52.6794	5521	-8741	3.25287	-58.1287	2.35338	-140.268	1.79726	-70.5707	0.000524209	-0.0109863	14.458	6.94206	0.0130385
-100.15	12713	-16688	15.7944	-52.7069	6126	-9877	3.50006	-50.3229	2.35466	-140.625	1.81354	-73.0591	0.000762486	0.0439453	14.7382	7.08264	0.0130385
-100.1	12716	-16684	15.7997	-52.6849	5368	-8716	3.18329	-57.0905	2.44051	-138.994	1.71069	-72.29	0.000571864	0	14.7711	7.0992	0.0130385
-100.05	12717	-16695	15.7966	-52.6685	5757	-9223	3.33313	-60.2435	2.32893	-137.933	1.78054	-76.0913	0.000428898	0.0164795	14.6173	7.02196	0.0130385
-99.9999	12716	-16685	15.7984	-52.6959	5933	-9049	3.22876	-52.24	2.51926	-133.929	1.88802	-79.8322	0.000667175	0.00549316	16.1169	7.77994	0.0130385
-99.9499	12717	-16691	15.7957	-52.6849	5054	-9993	3.46008	-60.8643	2.42868	-134.725	1.77492	-77.1844	0.000571864	0.032959	16.1829	7.81351	0.0130385
-99.8998	12708	-16690	15.7948	-52.7124	6756	-8553	3.45795	-50.658	2.42777	-134.643	1.85542	-79.4696	0.000810141	0.0164795	16.3916	7.91998	0.0130385
-99.8498	12720	-16685	15.7957	-52.6849	5171	-9100	3.39722	-56.0742	2.40013	-135.906	1.86563	-78.2062	0.000571864	0.0164795	16.7047	8.08011	0.0130385
-99.7998	12709	-16694	15.7988	-52.7124	6589	-8679	3.26965	-48.2684	2.50089	-136.675	1.7838	-77.5031	0.000810141	0.0164795	16.842	8.1505	0.0130385
-99.7498	12719	-16687	15.7997	-52.6849	5151	-9248	3.20862	-57.4475	2.4496	-136.95	1.79785	-75.8002	0.000571864	0.0164795	16.9464	8.20407	0.0130385
-99.6998	12720	-16678	15.7944	-52.6794	5915	-9197	3.53607	-58.0298	2.4365	-134.182	1.93362	-79.2609	0.000524209	0.0164795	17.655	8.56938	0.0130385
-99.6498	12717	-16682	15.7953	-52.6794	5711	-9627	3.4433	-58.7329	2.53708	-132.962	1.83752	-80.7001	0.000524209	0.0384521	18.0835	8.79165	0.0130385
-99.5998	12713	-16687	15.7975	-52.6849	7430	-8035	3.36731	-56.662	2.47852	-142.311	1.87659	-72.5702	0.000571864	0.0109863	18.3911	8.9519	0.0130385
-99.5498	12715	-16681	15.793	-52.6959	6212	-9238	3.52112	-53.8385	2.46415	-131.171	1.90201	-82.4194	0.000667175	0.0274658	18.4076	8.9605	0.0130385
-99.4998	12718	-16687	15.7957	-52.6904	6827	-9166	3.42773	-55.4974	2.44051	-141.416	1.81769	-73.0151	0.00061952	0.032959	18.1714	8.83738	0.0130385
-99.4498	12719	-16681	15.7935	-52.7124	6212	-9238	3.55621	-50.1801	2.41668	-130.309	1.99031	-79.9969	0.000810141	0.032959	18.8141	9.17318	0.0130385
-99.3998	12714	-16689	15.7984	-52.7069	6957	-9332	3.2663	-49.4055	2.47688	-132.297	1.99104	-81.59	0.000762486	0.0439453	19.2645	9.41006	0.0130385
-99.3498	12716	-16685	15.797	-52.7124	7124	-9208	3.39569	-49.5319	2.51799	-135.588	1.85335	-77.0691	0.000810141	0.0384521	19.1766	9.36374	0.0130385
-99.2998	12711	-16683	15.7948	-52.7014	7460	-8951	3.52112	-53.8385	2.55982	-133.423	1.97432	-82.6666	0.00071483	0.0439453	19.9951	9.79706	0.0130385
-99.2498	12711	-16686	15.797	-52.7014	7055	-8597	3.35846	-52.251	2.57746	-133.495	1.92926	-80.4309	0.00071483	0.0219727	20.0555	9.82923	0.0130385
-99.1998	12705	-16693	15.7899	-52.6959	6853	-10077	3.71338	-52.7618	2.59492	-128.331	2.03883	-86.7426	0.000667175	0.0769043	20.2533	9.93468	0.0130385
-99.1498	12713	-16691	15.7966	-52.7069	7370	-8480	3.39142	-51.7072	2.6011	-129.551	2.01212	-84.353	0.000762486	0.0274658	20.6598	10.1523	0.0130385
-99.0998	12711	-16686	15.7917	-52.6904	6659	-9296	3.68561	-55.2777	2.53144	-133.033	2.03446	-83.4796	0.00061952	0.0604248	20.6268	10.1346	0.0130385
-99.0498	12712	-16686	15.7935	-52.6849	6549	-8976	3.53119	-56.9916	2.62293	-131.358	1.9418	-81.6504	0.000571864	0.0164795	20.8301	10.2438	0.0130385
-98.9998	12709	-16691	15.7957	-52.7014	5869	-9683	3.50403	-55.4974	2.53399	-130.671	1.95506	-82.7271	0.00071483	0.0439453	20.6213	10.1316	0.0130385
-98.9498	12707	-16688	15.7939	-52.6959	7387	-8521	3.53271	-53.8934	2.57491	-131.325	2.02429	-82.4799	0.000667175	0.0274658	20.918	10.2911	0.0130385
-98.8998	12714	-16684	15.7935	-52.7124	6882	-8910	3.53607	-49.7076	2.6082	-135.643	1.95942	-79.7168	0.000810141	0.032959	20.896	10.2793	0.0130385
