Time	R047WFSIMES	R047WFSQMES	R047WFSGMES	R047WFSPMES	R047WFSIASK	R047WFSQASK	R047WFSGASK	R047WFSPASK	R047WFSCRFP	R047WFSCRFPP	R047WFSCRRP	R047WFSCRRPP	R047WFSGLDE	R047WFSPLDE	R047WFSDETA2	R047WFSCFQE2	R047WFSDFQES
-102.4	13780	-16336	15.8663	-49.8724	-5876	-978	1.80634	-171.453	1.70869	-118.954	1.23694	-152.781	0.00014039	-0.00549316	2.76855	1.33073	-0.00325963
-102.2	13768	-16338	15.8642	-49.8889	-6227	-1212	1.86462	-167.047	1.65541	-121.635	1.27563	-150.535	0.000280781	0.0164795	2.84546	1.36775	-0.00325963
-102	13773	-16337	15.8638	-49.8669	-6323	-169	1.90369	-171.562	1.61299	-119.756	1.30501	-152.342	9.35935e-05	0.0109863	2.31262	1.11132	-0.00325963
-101.8	13774	-16337	15.8629	-49.8615	-6513	-641	1.98822	-175.199	1.64086	-124.689	1.28354	-147.338	4.67968e-05	0.0274658	1.64246	0.789062	0
-101.6	13775	-16331	15.8663	-49.834	-6722	319	1.95892	176.808	1.65521	-125.239	1.27394	-147.222	-0.000187187	0	1.74133	0.836593	0
-101.4	13774	-16331	15.8629	-49.8615	-6414	-665	1.98822	-175.199	1.67119	-122.569	1.26363	-149.848	4.67968e-05	0.0274658	1.43921	0.691375	0
-101.2	13778	-16328	15.8676	-49.845	-5946	-863	1.93268	177.841	1.72242	-126.914	1.22804	-145.322	-9.35935e-05	0	0.0439453	0.0211063	0
-101	13776	-16337	15.8659	-49.8724	-5491	-650	1.80511	-171.436	1.64988	-124.788	1.28382	-147.876	0.00014039	-0.0274658	-0.911865	-0.437992	0
-100.8	13779	-16335	15.8702	-49.845	-5930	-255	1.80084	175.616	1.77694	-131.457	1.20982	-140.372	-9.35935e-05	-0.0164795	-1.62048	-0.778501	0
-100.6	13777	-16334	15.8693	-49.8724	-5695	-96	1.68091	-174.265	1.72693	-127.562	1.25261	-144.487	0.00014039	-0.0274658	-3.00476	-1.44446	0
-100.4	13783	-16332	15.8668	-49.8615	-5672	-512	1.81091	-177.55	1.80972	-130.82	1.21716	-141.394	4.67968e-05	-0.0219727	-3.72437	-1.79128	0
-100.2	13784	-16336	15.8668	-49.845	-5987	-38	1.93054	176.946	1.71853	-130.941	1.25883	-142.438	-9.35935e-05	-0.0109863	-4.05396	-1.95031	0
-100	13780	-16333	15.8681	-49.8505	-5808	334	1.79718	-179.44	1.70418	-131.902	1.27789	-140.982	-4.67968e-05	-0.0439453	-5.12512	-2.4681	0
-99.8	13779	-16338	15.8706	-49.845	-5937	152	1.77368	176.737	1.66361	-131.995	1.31772	-140.68	-9.35935e-05	-0.032959	-6.32812	-3.05172	0
-99.6	13781	-16334	15.8719	-49.823	-5936	663	1.84662	170.717	1.75398	-134.011	1.28538	-139.153	-0.000280781	-0.0439453	-7.03674	-3.39673	0
-99.4	13779	-16336	15.871	-49.8285	-6499	1390	1.82587	174.567	1.74128	-131.495	1.29639	-141.306	-0.000233984	-0.0439453	-8.16833	-3.94992	0
-99.2001	13788	-16335	15.8723	-49.812	-5973	977	1.87592	167.871	1.77222	-130.38	1.28778	-142.646	-0.000374374	-0.0494385	-8.68469	-4.20336	0
-99.0001	13783	-16336	15.8698	-49.834	-6329	745	1.88019	172.546	1.78083	-137.027	1.28947	-134.555	-0.000187187	-0.0439453	-9.66248	-4.68524	0
-98.8001	13792	-16336	15.8728	-49.856	-6004	890	1.6571	177.198	1.73841	-139.329	1.34822	-133.094	0	-0.0494385	-10.8984	-5.29841	0
-98.6001	13791	-16334	15.8719	-49.8175	-6336	1779	1.97266	167.783	1.73349	-133.242	1.34611	-139.741	-0.000327577	-0.0439453	-11.64	-5.66872	0
-98.4001	13790	-16328	15.8689	-49.801	-6723	2370	2.10144	163.658	1.80296	-137.878	1.33919	-135.544	-0.000467968	-0.0494385	-12.3541	-6.02719	0
-98.2001	13796	-16328	15.871	-49.812	-5612	810	1.8808	167.756	1.74681	-140.153	1.36658	-132.193	-0.000374374	-0.0604248	-13.4033	-6.55746	0
-98.0001	13795	-16331	15.874	-49.79	-6218	1348	2.08923	159.401	1.82468	-139.351	1.3413	-132.979	-0.000561561	-0.0494385	-13.6011	-6.65792	0
-97.8001	13799	-16330	15.874	-49.8175	-5798	1360	1.81732	169.667	1.8503	-141.603	1.31376	-131.006	-0.000327577	-0.065918	-13.6945	-6.70541	0
