Time	R045WFSIMES	R045WFSQMES	R045WFSGMES	R045WFSPMES	R045WFSIASK	R045WFSQASK	R045WFSGASK	R045WFSPASK	R045WFSCRFP	R045WFSCRFPP	R045WFSCRRP	R045WFSCRRPP	R045WFSGLDE	R045WFSPLDE	R045WFSDETA2	R045WFSCFQE2	R045WFSDFQES
-102.4	18654	14161	15.7152	37.1777	146	-11203	2.97485	-89.2255	3.43564	115.043	1.93265	-68.703	-0.000384615	-0.10437	-24.4171	-14.1585	-0.0130385
-102.35	18651	14144	15.7076	37.1667	2107	-9370	3.36121	-77.8876	3.43596	116.642	2.05237	-66.8298	-0.000299145	-0.0878906	-24.4611	-14.1873	-0.0130385
-102.3	18640	14151	15.7043	37.2217	352	-12599	4.40979	-88.1049	3.25211	115.895	2.48857	-63.9844	-0.000726496	-0.0604248	-24.7412	-14.3718	-0.0130385
-102.25	18646	14147	15.7023	37.1832	2959	-12245	3.72284	-76.5143	3.3977	119.498	1.90353	-61.3037	-0.00042735	-0.0109863	-24.538	-14.2379	-0.0130385
-102.2	18659	14146	15.7076	37.1722	2404	-11782	3.42651	-78.8104	3.56073	121.185	2.27748	-63.7097	-0.00034188	-0.0384521	-24.2908	-14.0756	-0.0130385
-102.15	18650	14153	15.7088	37.1887	2446	-10521	3.25897	-81.2549	3.46752	119.608	2.34156	-64.8029	-0.000470085	-0.0714111	-24.2688	-14.0612	-0.0130385
-102.1	18661	14157	15.7136	37.1667	613	-8562	2.8363	-82.4084	3.53905	116.071	2.69442	-67.6538	-0.000299145	-0.131836	-24.5215	-14.227	-0.0130385
-102.05	18654	14146	15.7076	37.1667	2482	-11346	3.42224	-77.7997	3.49787	117.526	2.45707	-65.7806	-0.000299145	-0.0439453	-23.8788	-13.8065	-0.0130385
-102	18651	14150	15.7128	37.1942	1069	-10093	3.43536	-90.2307	3.17299	124.492	2.3851	-75.7507	-0.00051282	-0.098877	-23.2086	-13.3725	-0.0162981
-101.95	18650	14145	15.7031	37.1887	1274	-11494	3.73688	-79.3158	3.51774	127.106	2.27895	-75.1904	-0.000470085	-0.0549316	-23.0109	-13.2452	-0.0162981
-101.9	18650	14150	15.7088	37.1667	1950	-10248	3.18359	-79.2224	3.10166	124.316	1.32122	-76.0748	-0.000299145	-0.0714111	-23.324	-13.4469	-0.0162981
-101.85	18653	14145	15.7088	37.1887	1255	-12126	3.43292	-86.0339	3.34063	125.217	1.2192	-71.7133	-0.000470085	-0.0714111	-23.2251	-13.3831	-0.0162981
-101.8	18653	14149	15.7104	37.1887	371	-11968	3.37372	-86.2592	3.44893	118.894	2.39627	-60.4083	-0.000470085	-0.0823975	-23.1812	-13.3548	-0.0162981
-101.75	18659	14143	15.7108	37.1503	1750	-9933	2.87476	-74.361	3.46028	122.778	2.1876	-71.2958	-0.00017094	-0.0714111	-23.2635	-13.4079	-0.0162981
-101.7	18649	14150	15.7092	37.1667	1863	-10317	3.12775	-77.6733	3.3977	122.344	2.20304	-72.0758	-0.000299145	-0.0714111	-22.5934	-12.9778	-0.0162981
