Time	R044WFSIMES	R044WFSQMES	R044WFSGMES	R044WFSPMES	R044WFSIASK	R044WFSQASK	R044WFSGASK	R044WFSPASK	R044WFSCRFP	R044WFSCRFPP	R044WFSCRRP	R044WFSCRRPP	R044WFSGLDE	R044WFSPLDE	R044WFSDETA2	R044WFSCFQE2	R044WFSDFQES
-102.4	21582	11971	15.7899	29.0533	-2262	-10106	3.07404	-100.673	2.22475	-104.458	2.16518	-72.7515	0.000566756	0.098877	23.0713	12.3096	0
-102.2	21579	11976	15.791	29.0588	-2331	-9688	3.06091	-101.19	2.11163	-103.101	2.11739	-72.8339	0.000526273	0.0714111	21.264	11.2465	0
-102	21578	12001	15.7921	29.0863	-2840	-9195	2.95593	-107.902	2.13307	-105.941	2.07708	-70.5212	0.00032386	0.0604248	19.6161	10.2998	0
-101.8	21574	12007	15.7933	29.0863	-3022	-8940	2.93793	-109.034	1.91375	-106.089	2.0749	-69.8346	0.00032386	0.0439453	16.2103	8.40173	0.00325963
-101.6	21576	12020	15.797	29.0918	-3611	-8659	2.80365	-112.363	1.96273	-114.489	1.8905	-63.9185	0.000283378	0.0384521	12.6782	6.50124	0.00325963
-101.4	21582	12005	15.7959	29.1083	-3754	-8682	2.90375	-114.692	1.85567	-121.426	1.81444	-58.0957	0.00016193	0.0439453	7.91016	4.01536	0.00651926
-101.2	21578	12012	15.7989	29.1083	-3783	-8039	2.76733	-116.06	1.83676	-125.898	1.80496	-54.1736	0.00016193	0.00549316	4.68567	2.36869	0.00651926
-101	21576	12017	15.7985	29.1248	-5461	-8313	2.83905	-118.79	1.80229	-129.677	1.79531	-50.2789	4.04826e-05	0.0384521	0.791016	0.399007	0.00651926
-100.8	21578	12030	15.8012	29.1193	-4817	-7422	2.70844	-120.41	1.77608	-131.067	1.80712	-49.2737	8.09651e-05	-0.0219727	-3.38928	-1.71152	0.00977889
-100.6	21574	12036	15.8064	29.1797	-6293	-6834	3.02399	-136.895	1.82232	-135.066	1.76605	-45.379	-0.000364343	-0.0549316	-6.64124	-3.36487	0.00977889
-100.4	21577	12046	15.8053	29.1852	-6549	-7018	3.00598	-138.131	1.80789	-132.424	1.81577	-47.84	-0.000404826	-0.0439453	-11.4313	-5.84358	0.00977889
-100.2	21585	12047	15.8136	29.1687	-7111	-5751	2.48016	-138.631	1.93123	-140.806	1.79498	-40.8197	-0.000283378	-0.12085	-14.7656	-7.61703	0.0130385
-100	21579	12048	15.8113	29.1577	-6521	-6303	2.61169	-135.928	1.97641	-141.531	1.84344	-39.7815	-0.000202413	-0.10437	-17.2156	-8.9545	0.0130385
-99.8	21581	12051	15.8109	29.1852	-6579	-6381	2.87994	-140.576	2.02094	-144.624	1.87226	-35.7605	-0.000404826	-0.0714111	-19.4678	-10.2156	0.0130385
-99.6	21576	12056	15.8109	29.2017	-7221	-6293	3.05481	-143.696	2.09729	-146.42	1.87189	-33.8818	-0.000526273	-0.0769043	-21.5112	-11.3904	0.0130385
-99.4	21580	12053	15.8102	29.1797	-6426	-5877	2.72278	-140.576	2.10405	-146.997	1.88849	-34.5465	-0.000364343	-0.115356	-23.0328	-12.2867	0.0130385
-99.2001	21575	12061	15.8102	29.1962	-7871	-5822	2.96997	-142.377	2.11394	-152.935	1.95142	-28.0756	-0.000485791	-0.0823975	-24.4501	-13.1399	0.0130385
