Time	R043WFSIMES	R043WFSQMES	R043WFSGMES	R043WFSPMES	R043WFSIASK	R043WFSQASK	R043WFSGASK	R043WFSPASK	R043WFSCRFP	R043WFSCRFPP	R043WFSCRRP	R043WFSCRRPP	R043WFSGLDE	R043WFSPLDE	R043WFSDETA2	R043WFSCFQE2	R043WFSDFQES
-102.4	12742	-16674	15.802	-52.6245	3103	-8183	2.83264	-70.9827	1.8429	-160.049	1.80407	-49.8889	4.76554e-05	-0.0109863	-6.71265	-3.16891	0
-102.2	12745	-16675	15.802	-52.6135	3023	-8776	2.81616	-73.9105	1.9363	-162.889	1.71172	-47.1259	-4.76554e-05	0	-5.69641	-2.6857	0
-102	12741	-16672	15.7988	-52.6245	1901	-9235	3.09845	-70.5981	1.81298	-159.785	1.8384	-49.9658	4.76554e-05	0.0164795	-4.40002	-2.07173	0
-101.8	12741	-16675	15.8002	-52.6135	2838	-9250	2.91046	-72.5812	1.84538	-157.203	1.80851	-53.4045	-4.76554e-05	0.00549316	-3.26294	-1.53498	0
-101.6	12745	-16672	15.7997	-52.608	2574	-8916	2.97546	-74.1193	1.83283	-157.335	1.81251	-53.4375	-9.53107e-05	0.00549316	-2.31812	-1.08992	0
-101.4	12736	-16682	15.8033	-52.619	3797	-7708	2.7063	-72.7075	1.91018	-153.858	1.74665	-56.2555	0	-0.0274658	-1.2854	-0.604135	0
-101.2	12735	-16679	15.8038	-52.6355	4054	-8050	2.70752	-68.3679	1.91923	-156.901	1.72652	-53.1683	0.000142966	-0.0164795	-0.373535	-0.175534	0
-101	12744	-16674	15.8024	-52.6355	4411	-7639	2.73804	-65.3851	1.88581	-153.27	1.76337	-57.0355	0.000142966	-0.0109863	0.324097	0.152301	0
-100.8	12727	-16682	15.7975	-52.6465	4165	-6957	2.81342	-60.9631	1.81531	-153.517	1.8791	-56.9147	0.000238277	-0.0274658	1.76331	0.828872	0
-100.6	12733	-16677	15.8011	-52.641	4851	-7506	2.72156	-61.9299	1.87734	-149.733	1.86016	-60.6061	0.000190621	0	2.94983	1.38741	0
-100.4	12729	-16680	15.7997	-52.6355	2762	-8442	2.85492	-68.1317	1.80699	-150.013	1.90273	-61.864	0.000142966	-0.0109863	3.04871	1.434	0
-100.2	12731	-16679	15.797	-52.641	4731	-8393	2.96173	-63.0615	1.86859	-146.766	1.89619	-65.0226	0.000190621	0.0219727	4.32312	2.03538	0
-100	12733	-16679	15.8002	-52.641	4284	-8337	2.7597	-62.4847	1.85093	-146.008	1.88711	-64.6326	0.000190621	0.0109863	5.53162	2.60752	0
-99.8	12733	-16673	15.7966	-52.641	4003	-8492	2.99011	-64.2206	1.90434	-147.645	1.85483	-62.9242	0.000190621	-0.00549316	6.03149	2.84483	0
-99.6	12728	-16678	15.8002	-52.652	5031	-7563	2.76459	-61.106	1.94621	-142.333	1.83811	-68.0658	0.000285932	0	6.77307	3.1977	0
-99.4	12725	-16685	15.7979	-52.652	4399	-7784	2.9126	-58.7384	1.88771	-147.629	1.89002	-63.8745	0.000285932	0	7.32239	3.45978	0
-99.2001	12734	-16682	15.8002	-52.652	4378	-7934	2.76459	-61.106	1.99958	-145.657	1.80155	-65.6763	0.000285932	-0.00549316	8.25073	3.9042	0.00325963
-99.0001	12730	-16684	15.802	-52.6849	5256	-6987	2.6712	-50.2789	1.90668	-148.799	1.9329	-62.5342	0.000571864	-0.0164795	9.28894	4.4037	0.00325963
-98.8001	12725	-16683	15.7966	-52.663	5001	-8728	2.95044	-56.0852	1.951	-143.564	1.95125	-68.6151	0.000381243	0.032959	10.3876	4.93551	0.00325963
-98.6001	12732	-16683	15.7988	-52.652	4720	-8538	2.83936	-60.1392	1.94061	-142.092	2.00539	-67.3846	0.000285932	0.0219727	10.8051	5.13856	0.00325963
-98.4001	12728	-16679	15.7953	-52.6685	5245	-8002	3.04871	-56.5741	1.99207	-131.232	1.99994	-77.525	0.000428898	0.0274658	11.5576	5.50602	0.00325963
-98.2001	12718	-16677	15.7957	-52.6685	4950	-7960	3.04504	-55.3601	1.93678	-139.532	2.0123	-70.285	0.000428898	0.0109863	11.8982	5.67296	0.00325963
-98.0001	12725	-16678	15.7993	-52.674	6422	-7101	2.84698	-52.9431	1.95627	-141.021	1.99086	-68.4283	0.000476554	0.00549316	12.4695	5.95394	0.00325963
-97.8001	12721	-16682	15.8015	-52.6959	6413	-6372	2.83936	-48.3179	2.04976	-138.658	1.8971	-72.8888	0.000667175	-0.0109863	12.6123	6.02438	0.00325963
-97.6001	12724	-16691	15.8006	-52.6685	5067	-7407	2.76733	-53.5748	2.01923	-138.472	1.95942	-72.301	0.000428898	0	12.7386	6.08675	0.00325963
-97.4001	12721	-16687	15.7997	-52.6849	5682	-7337	2.83478	-49.6088	1.98696	-142.515	1.96724	-67.9944	0.000571864	0.00549316	12.453	5.94582	0.00651926
-97.2001	12716	-16688	15.7961	-52.6575	4762	-8573	2.96692	-56.0028	1.95212	-142.191	2.00666	-69.5709	0.000333587	0.0274658	12.9144	6.17364	0.00651926
-97.0001	12720	-16680	15.7944	-52.663	5813	-7504	3.10608	-58.2275	1.94892	-144.316	2.08897	-67.2089	0.000381243	0.0164795	13.2001	6.31509	0.00651926
-96.8001	12730	-16677	15.7961	-52.652	4927	-8248	3.01453	-61.4685	2.02227	-140.57	1.96378	-70.0873	0.000285932	0.0164795	12.5189	5.97831	0.00651926
-96.6001	12724	-16678	15.7953	-52.652	4868	-8696	3.04108	-60.7544	1.91923	-139.872	2.02556	-71.3342	0.000285932	0.0274658	12.2662	5.85384	0.00651926
-96.4001	12721	-16686	15.7984	-52.652	5490	-7413	2.91351	-61.1169	1.96298	-148.008	1.86711	-62.9681	0.000285932	0.0109863	11.5137	5.48451	0.00651926
-96.2001	12731	-16679	15.7975	-52.6575	4876	-7487	2.85583	-56.7224	1.99606	-139.559	1.95016	-70.6366	0.000333587	0	11.651	5.55176	0.00651926
-96.0001	12721	-16687	15.7993	-52.6849	4351	-8020	2.84821	-52.8168	1.97944	-136.527	2.02175	-72.2296	0.000571864	0.0109863	12.1234	5.78359	0.00651926
-95.8001	12723	-16680	15.8002	-52.6355	5068	-7546	2.79999	-64.7809	1.99686	-149.079	1.96033	-61.7871	0.000142966	-0.00549316	11.7883	5.61907	0.00651926
-95.6001	12727	-16682	15.7961	-52.6575	5842	-8554	2.99316	-60.8093	1.92959	-145.833	2.05918	-65.1379	0.000333587	0.0274658	11.5796	5.51678	0.00651926
-95.4001	12722	-16679	15.797	-52.652	6107	-7683	2.92023	-59.7491	1.96314	-146.118	1.97596	-64.9402	0.000285932	0.0274658	11.0852	5.27513	0.00651926
-95.2001	12729	-16677	15.7984	-52.652	5416	-8343	2.91321	-58.4857	1.90259	-140.663	1.98977	-67.8735	0.000285932	0.0274658	11.3214	5.39048	0.00651926
-95.0001	12732	-16675	15.797	-52.652	4970	-8289	3.01361	-58.9032	1.94812	-139.048	1.99776	-71.076	0.000285932	0.032959	11.2775	5.36901	0.00651926
-94.8001	12721	-16678	15.7975	-52.674	5318	-7685	2.85004	-53.9978	1.94109	-139.779	1.9398	-69.0326	0.000476554	0	10.6842	5.07972	0.00651926
-94.6001	12718	-16686	15.7984	-52.6794	5698	-7131	2.91504	-51.427	1.9494	-137.648	1.94907	-71.6418	0.000524209	0.00549316	9.87671	4.68777	0.00651926
-94.4001	12721	-16680	15.7979	-52.6849	5399	-7090	2.88605	-49.4989	1.95228	-140.751	1.92109	-69.2688	0.000571864	0.00549316	9.59106	4.54959	0.00977889
-94.2001	12732	-16678	15.7979	-52.641	5244	-8283	2.85065	-61.1993	1.96634	-145.212	1.88711	-66.1377	0.000190621	0.0274658	9.25598	4.38779	0.00977889
-94.0001	12731	-16681	15.7975	-52.6685	3993	-8574	2.85004	-53.9978	1.88274	-146.459	1.9358	-65.3741	0.000428898	0.00549316	8.61328	4.07831	0.00977889
-93.8001	12724	-16687	15.7975	-52.6465	4315	-8794	2.96692	-61.4081	1.93901	-150.815	1.86667	-61.0071	0.000238277	0.0274658	8.80005	4.16813	0.00977889
-93.6001	12720	-16680	15.7984	-52.652	5046	-7828	2.85614	-59.7766	1.89121	-150.282	1.95724	-60.7489	0.000285932	0.00549316	8.21228	3.88575	0.00977889
-93.4001	12725	-16679	15.7961	-52.6465	3850	-8883	2.96692	-61.4081	1.8445	-142.026	1.99885	-66.1102	0.000238277	0.0164795	7.56409	3.5753	0.00977889
-93.2001	12731	-16678	15.802	-52.6245	3874	-7526	2.76245	-69.6643	1.85749	-135.824	1.94725	-71.6968	4.76554e-05	-0.0274658	7.00378	3.3077	0.00977889
-93.0001	12732	-16674	15.7979	-52.641	4374	-8348	2.90253	-61.5894	1.90391	-149.068	1.8464	-62.3694	0.000190621	0.0164795	6.36108	3.00153	0.00977889
-92.8001	12730	-16684	15.8006	-52.6465	4477	-7264	2.72156	-61.5344	1.88085	-148.837	1.87614	-62.4463	0.000238277	-0.0164795	6.37207	3.00676	0.00651926
-92.6002	12728	-16682	15.8002	-52.6355	3877	-8396	2.83722	-66.5112	1.91193	-146.041	1.84299	-66.0333	0.000142966	-0.00549316	6.11938	2.8866	0.00651926
-92.4002	12724	-16682	15.797	-52.674	4806	-8222	2.948	-53.2617	1.85326	-150.815	1.91782	-59.7107	0.000476554	0.0219727	6.56433	3.09827	0.00651926
-92.2002	12728	-16682	15.7988	-52.6355	4448	-8623	2.94891	-64.682	1.86012	-148.425	1.95779	-62.5726	0.000142966	0.0219727	6.71814	3.17153	0.00651926
-92.0002	12721	-16684	15.797	-52.6465	4210	-8142	2.9245	-62.2046	1.85282	-143.992	1.96251	-66.7749	0.000238277	0.00549316	6.74011	3.182	0.00651926
-91.8002	12731	-16674	15.7997	-52.6355	3397	-8967	2.96509	-64.5282	1.861	-144.684	1.92854	-65.4456	0.000142966	0.00549316	6.87195	3.24483	0.00651926
