Time	R044WFSIMES	R044WFSQMES	R044WFSGMES	R044WFSPMES	R044WFSIASK	R044WFSQASK	R044WFSGASK	R044WFSPASK	R044WFSCRFP	R044WFSCRFPP	R044WFSCRRP	R044WFSCRRPP	R044WFSGLDE	R044WFSPLDE	R044WFSDETA2	R044WFSCFQE2	R044WFSDFQES
-102.4	21580	12028	15.8034	29.1412	-3605	-7456	2.53174	-115.126	1.70154	-133.676	1.87682	-47.7191	-8.09651e-05	-0.0274658	-5.25696	-2.65903	0.00325963
-102.2	21578	12027	15.8027	29.1412	-4325	-7426	2.56775	-114.576	1.73713	-128.117	1.84435	-52.5861	-8.09651e-05	-0.0384521	-6.15234	-3.11517	0.00325963
-102	21575	12030	15.8038	29.1467	-4001	-7660	2.69348	-118.411	1.83774	-133.022	1.74526	-47.4774	-0.000121448	-0.032959	-6.29517	-3.18807	0.00325963
-101.8	21576	12035	15.8008	29.1412	-3353	-8518	2.6825	-116.219	1.839	-132.693	1.74875	-48.0542	-8.09651e-05	0.0219727	-6.89941	-3.49692	0.00325963
-101.6	21575	12030	15.8038	29.1467	-3804	-7948	2.70386	-117.62	1.87813	-130.765	1.70519	-49.6198	-0.000121448	-0.0274658	-7.13013	-3.61506	0.00325963
-101.4	21579	12029	15.8038	29.1302	-3068	-7612	2.53357	-112.126	1.7908	-137.598	1.79698	-44.4287	0	-0.0384521	-7.89368	-4.00689	0.00325963
-101.2	21579	12026	15.8049	29.1302	-2989	-7671	2.46094	-113.176	1.82078	-139.406	1.79781	-41.6052	0	-0.0274658	-8.70667	-4.42569	0.00325963
-101	21572	12036	15.8027	29.1412	-3812	-7444	2.60345	-114.549	1.78911	-135.939	1.79781	-45.7416	-8.09651e-05	-0.0549316	-8.89343	-4.52215	0.00325963
-100.8	21577	12032	15.8034	29.1412	-3898	-7858	2.49054	-116.395	1.79668	-133.649	1.78118	-47.6697	-8.09651e-05	-0.0274658	-8.06946	-4.09729	0.00325963
-100.6	21580	12038	15.8057	29.1577	-4133	-7319	2.55371	-122.151	1.8362	-137.373	1.74875	-43.5388	-0.000202413	-0.0494385	-8.38806	-4.26135	0.00325963
-100.4	21574	12043	15.8019	29.1577	-3674	-7889	2.74597	-119.839	1.85315	-127.112	1.72747	-53.465	-0.000202413	-0.0274658	-8.17383	-4.15101	0.00325963
