Time	R041WFSIMES	R041WFSQMES	R041WFSGMES	R041WFSPMES	R041WFSIASK	R041WFSQASK	R041WFSGASK	R041WFSPASK	R041WFSCRFP	R041WFSCRFPP	R041WFSCRRP	R041WFSCRRPP	R041WFSGLDE	R041WFSPLDE	R041WFSDETA2	R041WFSCFQE2	R041WFSDFQES
-102.4	14551	-6198	10.9915	-23.0878	3257	6622	2.43317	61.095	1.19316	-2.12585	0.970821	-22.2034	-0.000316236	-0.0384521	-6.76758	-3.01096	0
-102.35	14544	-6209	10.9949	-23.1152	4211	6387	2.16888	62.8418	1.20305	-5.07019	0.963131	-18.6823	0	-0.0494385	-7.20154	-3.20602	0
-102.3	14554	-6203	10.9974	-23.0933	3520	6398	2.18597	60.1337	1.21834	1.07117	0.92431	-24.8895	-0.000252988	-0.0494385	-6.828	-3.0381	0
-102.25	14549	-6199	10.9932	-23.0768	3949	6613	2.4118	59.6613	1.19061	-3.70239	0.971938	-19.0887	-0.00044273	-0.0274658	-7.32788	-3.26288	0
-102.2	14544	-6206	10.997	-23.1097	2987	6546	2.23145	63.2922	1.20335	-7.02576	0.974046	-17.4792	-6.32471e-05	-0.032959	-7.95959	-3.54767	0
-102.15	14547	-6199	10.9923	-23.0438	4278	6507	2.50122	55.8984	1.18357	-4.63074	0.984217	-18.501	-0.000822212	-0.0219727	-8.07495	-3.59977	0
-102.1	14544	-6203	10.9944	-23.0878	4074	6155	2.3111	61.1389	1.22643	-4.91638	0.962139	-18.8196	-0.000316236	-0.0549316	-8.25623	-3.68169	0
-102.05	14553	-6196	10.9949	-23.0328	4126	5971	2.48444	51.1139	1.20335	-1.34033	0.977767	-22.9449	-0.000948707	-0.0549316	-8.69568	-3.88062	0
-102	14546	-6213	10.9949	-23.1042	3477	6192	2.29156	62.699	1.24666	-5.71289	0.948	-18.7372	-0.000126494	-0.0549316	-8.73962	-3.90054	0
-101.95	14551	-6200	10.9949	-23.0988	3543	6306	2.27081	62.1991	1.21175	-8.34412	0.988062	-14.8645	-0.000189741	-0.0494385	-8.99231	-4.01516	0
-101.9	14546	-6202	10.9986	-23.0878	3452	6283	2.19055	56.9092	1.25865	-4.26819	0.946139	-18.9459	-0.000316236	-0.0549316	-9.65149	-4.31494	0
-101.85	14551	-6200	10.9957	-23.0768	3520	6398	2.33215	57.6233	1.22089	-5.20752	1.00096	-18.4406	-0.00044273	-0.0439453	-9.9646	-4.45774	0
-101.8	14550	-6202	10.9957	-23.0988	3761	6956	2.23053	62.2266	1.23452	-8.21777	0.968217	-15.661	-0.000189741	-0.0164795	-9.91516	-4.43518	0
-101.75	14550	-6202	10.9957	-23.0988	4233	6296	2.26959	60.1392	1.22958	-5.99304	0.997612	-17.7979	-0.000189741	-0.0494385	-10.0909	-4.51544	0
-101.7	14549	-6200	10.9928	-23.1097	3970	6914	2.32788	67.2144	1.23617	-8.47046	0.980248	-13.7164	-6.32471e-05	-0.0219727	-10.1624	-4.54808	0
-101.65	14550	-6192	10.9936	-23.0713	4410	6736	2.39532	57.2058	1.24277	-6.16333	0.982604	-17.0728	-0.000505977	-0.0274658	-10.6732	-4.78195	0
-101.6	14552	-6199	10.9936	-23.0878	4108	6756	2.39258	60.1392	1.2627	-7.85522	0.958294	-13.3978	-0.000316236	-0.0274658	-10.6567	-4.7744	0
-101.55	14552	-6195	10.9919	-23.0713	4291	6807	2.49603	57.7881	1.22343	-9.56909	1.00381	-14.881	-0.000505977	-0.0164795	-10.9149	-4.89288	0
-101.5	14549	-6201	10.9911	-23.0713	4502	6762	2.53998	56.8982	1.23872	-8.01453	0.971566	-15.1392	-0.000505977	-0.0219727	-10.5084	-4.70643	0
-101.45	14546	-6198	10.9936	-23.0878	4711	6721	2.35138	60.1392	1.23632	-2.42798	0.984093	-21.7419	-0.000316236	-0.0164795	-10.7666	-4.82479	0
-101.4	14556	-6194	10.9957	-23.0768	4187	6561	2.31171	58.9197	1.28128	-9.62952	0.961023	-13.5352	-0.00044273	-0.0439453	-11.3654	-5.10009	0
-101.35	14548	-6193	10.9944	-23.0878	4003	6514	2.33154	59.436	1.27514	-6.1853	0.951473	-16.9189	-0.000316236	-0.0384521	-11.5466	-5.18366	-0.00325963
-101.3	14551	-6194	10.9949	-23.0658	4624	6386	2.33643	56.4148	1.25895	-6.60278	0.974294	-16.3861	-0.000569224	-0.0439453	-11.3763	-5.10515	-0.00325963
-101.25	14548	-6206	10.9957	-23.0658	4118	6444	2.33948	55.4095	1.21309	-6.05347	1.01671	-17.3419	-0.000569224	-0.0439453	-11.7938	-5.2978	-0.00325963
-101.2	14551	-6191	10.9923	-23.0823	4392	6520	2.41394	60.4248	1.26794	-4.27917	0.959038	-18.6932	-0.000379483	-0.0219727	-11.7499	-5.27749	-0.00325963
-101.15	14551	-6200	10.9953	-23.0713	3775	6255	2.37762	56.4752	1.26959	-9.44275	1.00121	-13.3649	-0.000505977	-0.0494385	-12.42	-5.58787	-0.00325963
-101.1	14554	-6199	10.9906	-23.0603	4255	6677	2.52258	56.228	1.28982	-8.97034	0.993519	-14.5844	-0.000632471	-0.0219727	-12.5134	-5.63125	-0.00325963
-101.05	14552	-6198	10.9991	-23.0603	4420	6425	2.24884	52.5916	1.24471	-10.0745	0.995132	-12.9364	-0.000632471	-0.0384521	-12.1619	-5.46811	-0.00325963
-101	14549	-6202	10.9965	-23.0988	4346	6700	2.20947	61.5179	1.23422	-8.26721	1.00046	-16.3202	-0.000189741	-0.032959	-11.9421	-5.36638	-0.00325963
-100.95	14553	-6195	10.9978	-23.0768	3920	6096	2.25433	56.2775	1.24876	-7.84973	1.02602	-15.3259	-0.00044273	-0.065918	-12.475	-5.61338	-0.00325963
-100.9	14552	-6191	10.9957	-23.0603	4090	6539	2.34344	54.4153	1.22014	-7.81128	1.0275	-16.5179	-0.000632471	-0.0439453	-12.5189	-5.6338	-0.00325963
-100.85	14555	-6194	10.9936	-23.0823	3928	6787	2.43439	58.9911	1.28758	-12.6398	0.983349	-11.7883	-0.000379483	-0.0274658	-12.7167	-5.72576	-0.00325963
-100.8	14557	-6188	10.9965	-23.0823	3492	6570	2.27142	57.887	1.26974	-7.72339	0.977023	-15.7379	-0.000379483	-0.0494385	-12.2498	-5.50886	-0.00325963
-100.75	14557	-6201	10.997	-23.0713	4392	6520	2.35901	55.9424	1.26285	-6.28967	0.998356	-16.8036	-0.000505977	-0.032959	-12.2772	-5.5216	-0.00325963
-100.7	14554	-6194	10.9944	-23.0713	4346	6700	2.35352	57.9474	1.25086	-8.82751	1.00505	-15.8423	-0.000505977	-0.0274658	-12.5574	-5.65167	-0.00325963
-100.65	14551	-6195	10.9915	-23.0603	4144	6350	2.41669	57.5134	1.25086	-12.0135	1.03222	-11.1841	-0.000632471	-0.0439453	-13.0078	-5.86141	-0.00325963
-100.6	14548	-6200	10.9936	-23.0878	4137	6745	2.35229	59.9414	1.28862	-12.8595	0.978015	-11.7444	-0.000316236	-0.032959	-13.1781	-5.9409	-0.00325963
-100.55	14551	-6196	10.9965	-23.0438	3953	6695	2.34772	53.4155	1.24292	-11.3049	1.03209	-11.0852	-0.000822212	-0.0384521	-13.1287	-5.91781	-0.00325963
-100.5	14546	-6197	10.9936	-23.0823	4408	6820	2.41333	59.4635	1.27259	-11.1511	1.01336	-11.651	-0.000379483	-0.0164795	-13.0627	-5.88704	-0.00325963
-100.45	14552	-6195	10.9919	-23.0658	4290	6889	2.46002	56.5906	1.27798	-11.1951	0.973426	-10.882	-0.000569224	-0.032959	-12.821	-5.77436	-0.00325963
-100.4	14547	-6199	10.9957	-23.0768	4097	6152	2.35413	58.0023	1.25925	-7.04773	1.0182	-13.9856	-0.00044273	-0.0549316	-13.1122	-5.91012	-0.00325963
-100.35	14557	-6188	10.9949	-23.0603	4924	6377	2.38068	55.5469	1.22973	-5.89417	1.01882	-18.1055	-0.000632471	-0.0439453	-12.6068	-5.67466	-0.00325963
-100.3	14550	-6197	10.9932	-23.0768	4084	6543	2.41516	58.5406	1.24382	-9.95911	0.991535	-12.5024	-0.00044273	-0.032959	-12.3047	-5.53434	-0.00325963
-100.25	14555	-6193	10.9965	-23.0988	3690	6925	2.29187	61.5289	1.22958	-6.32812	1.00022	-17.1167	-0.000189741	-0.0164795	-12.1783	-5.47575	-0.00325963
-100.2	14550	-6195	11.0003	-23.0713	3732	6054	2.19116	51.8939	1.25895	-9.0033	0.998852	-13.9856	-0.000505977	-0.0714111	-12.2168	-5.49358	-0.00651926
