Time	R2M6WFSIMES	R2M6WFSQMES	R2M6WFSGMES	R2M6WFSPMES	R2M6WFSIASK	R2M6WFSQASK	R2M6WFSGASK	R2M6WFSPASK	R2M6WFSCRFP	R2M6WFSCRFPP	R2M6WFSCRRP	R2M6WFSCRRPP	R2M6WFSGLDE	R2M6WFSPLDE	R2M6WFSDETA2	R2M6WFSCFQE2	R2M6WFSDFQES
-102.4	29256	9525	17.9913	18.0341	-6524	-1413	2.07092	-158.967	2.88826	144.69	2.60305	76.7175	0.000324876	0.0604248	12.9364	6.87717	0
-102.2	29255	9553	17.9927	18.0725	-7022	-934	2.09473	-175.182	2.94886	147.167	2.43314	76.3495	9.74627e-05	0.0714111	13.8867	7.40201	0
-102	29257	9539	17.9959	18.0615	-6116	-1420	1.94061	-172.04	2.99108	144.119	2.2933	79.8706	0.000162438	0.0384521	13.8647	7.38982	0
-101.8	29260	9529	17.9973	18.045	-5775	-1804	1.81763	-164.125	3.0548	145.602	2.39328	77.9205	0.000259901	0.0164795	14.3536	7.66144	0
-101.6	29260	9536	17.9966	18.0286	-5775	-1804	1.82709	-157.17	2.96332	154.764	2.70306	69.5654	0.000357363	0.0274658	15.6006	8.35969	0
-101.4	29255	9545	17.9956	18.045	-6069	-2425	1.90216	-161.395	3.23618	150.353	2.38838	70.0159	0.000259901	0.0549316	16.2927	8.75091	0
-101.2	29261	9535	17.9934	18.0231	-5623	-3969	2.01813	-150.441	2.9168	150.167	2.54106	73.2678	0.000389851	0.0878906	15.2875	8.18359	0
-101	29252	9536	17.9938	18.0396	-6135	-2518	2.03003	-160.516	3.23423	150.068	2.32466	70.1587	0.000292388	0.0714111	15.7269	8.43091	0
-100.8	29245	9539	17.9895	18.056	-6262	-2850	2.11853	-164.35	2.97583	141.757	2.57985	79.7278	0.000194925	0.0769043	16.0675	8.62331	0
-100.6	29255	9542	17.9956	18.078	-6553	-1687	2.08221	-177.726	3.1064	144.816	2.39132	77.4152	6.49751e-05	0.0439453	16.5454	8.89441	0
-100.4	29254	9537	17.9941	18.0341	-6355	-1894	1.98181	-157.577	2.91876	154.265	2.70915	69.9335	0.000324876	0.0769043	17.0508	9.18256	0
-100.2	29254	9539	17.9945	18.067	-6664	-1543	2.01263	-171.019	3.12438	156.791	2.48174	68.9008	0.00012995	0.0604248	17.0728	9.19513	0
-100	29261	9514	17.9902	18.0341	-5922	-2054	2.13348	-161.104	3.02	151.589	2.56084	72.7625	0.000324876	0.065918	16.7871	9.03203	0
-99.8	29259	9528	17.9952	18.0396	-7295	-710	1.96381	-165.855	3.05636	145.865	2.62054	75.7397	0.000292388	0.0604248	17.1826	9.25799	0
-99.6	29266	9523	17.9927	18.0341	-6905	-1941	2.05811	-160.549	3.04502	142.778	2.50075	78.9148	0.000324876	0.0878906	15.6775	8.40303	0
-99.4	29255	9540	17.9934	18.0505	-6742	-1503	2.10663	-168.091	3.07669	148.766	2.47717	75.1465	0.000227413	0.0878906	15.5951	8.3566	0
-99.2001	29248	9545	17.9938	18.0505	-6373	-1277	2.00897	-168.717	3.1322	144.229	2.20344	76.8878	0.000227413	0.0439453	12.9364	6.87717	0
