Time	R2M1WFSIMES	R2M1WFSQMES	R2M1WFSGMES	R2M1WFSPMES	R2M1WFSIASK	R2M1WFSQASK	R2M1WFSGASK	R2M1WFSPASK	R2M1WFSCRFP	R2M1WFSCRFPP	R2M1WFSCRRP	R2M1WFSCRRPP	R2M1WFSGLDE	R2M1WFSPLDE	R2M1WFSDETA2	R2M1WFSCFQE2	R2M1WFSDFQES
-102.4	-13905	19493	13.0033	125.513	5648	-648	1.93695	-8.33313	1.10216	-54.5142	0.69749	-39.5178	-0.000292385	-0.0549316	-11.2555	-4.48674	0.00325963
-102.2	-13905	19504	13.0061	125.513	5314	-231	1.85516	-10.0909	1.1358	-57.5024	0.681407	-38.4686	-0.000292385	-0.0549316	-11.5796	-4.61947	0.00325963
-102	-13899	19502	13.0023	125.491	6043	-565	1.9516	-5.1416	1.08242	-52.5256	0.733589	-43.5498	-0.000125308	-0.0219727	-11.5027	-4.58795	0.00325963
-101.8	-13909	19487	13.0017	125.519	6569	-365	2.05902	-5.61951	1.03509	-56.1896	0.724117	-36.7493	-0.000334155	-0.00549316	-10.9863	-4.37674	0.00325963
-101.6	-13903	19484	12.9995	125.519	6864	-305	2.10938	-3.81226	1.0514	-47.5269	0.698205	-47.9443	-0.000334155	0.0164795	-9.43176	-3.74516	0.00325963
-101.4	-13889	19492	12.9982	125.458	6300	-344	1.716	7.43774	1.09451	-49.6307	0.646916	-44.2914	0.000125308	0	-7.20154	-2.84872	0
-101.2	-13895	19489	12.9989	125.497	6476	350	1.99738	0.31311	1.08665	-42.3743	0.634228	-53.5913	-0.000167077	0.0219727	-6.41602	-2.53522	0
-101	-13901	19505	13.0039	125.453	5062	452	1.5033	4.85046	1.06571	-42.4896	0.680334	-53.5529	0.000167077	-0.0384521	-7.43225	-2.941	0
-100.8	-13884	19512	13.0039	125.442	5606	-168	1.52985	4.09241	1.02784	-43.5498	0.707855	-51.9708	0.000250616	-0.032959	-7.17407	-2.83774	0
-100.6	-13893	19496	13.0036	125.464	5536	222	1.56311	3.28491	1.00407	-45.1813	0.729836	-51.2128	8.35387e-05	-0.0274658	-6.27319	-2.47833	0
-100.4	-13894	19491	12.9979	125.475	6040	168	1.87378	5.53162	1.05624	-43.9673	0.673186	-51.2402	0	0.0109863	-5.09216	-2.00899	0
-100.2	-13891	19495	12.9995	125.475	5969	482	1.83136	3.83972	0.99299	-41.5942	0.715003	-54.7668	0	0.0109863	-3.95508	-1.55874	0
-100	-13877	19502	12.9967	125.442	5162	1204	1.69159	13.0902	1.00367	-40.6989	0.693559	-55.3217	0.000250616	0.0219727	-2.1698	-0.854194	0
-99.8	-13886	19498	12.9976	125.464	5929	305	1.84998	5.43823	0.986746	-35.9692	0.711251	-60.3534	8.35387e-05	0.0219727	-0.351562	-0.138337	0
-99.6	-13895	19493	13.0017	125.491	5595	233	1.85944	-1.43372	0.933167	-38.8037	0.733768	-57.5958	-0.000125308	-0.0164795	-1.08215	-0.425863	0
-99.4	-13887	19506	13.0042	125.453	4800	139	1.50848	2.94434	1.02965	-45.2087	0.690342	-52.1631	0.000167077	-0.0549316	-2.44446	-0.962444	0
-99.2001	-13905	19495	13.0023	125.491	5128	131	1.87836	-3.60352	0.998832	-47.7191	0.720186	-48.5211	-0.000125308	-0.0384521	-5.1416	-2.0286	0
-99.0001	-13890	19498	13.0017	125.491	6186	-215	1.90186	-3.40576	0.992386	-51.2952	0.716433	-44.9066	-0.000125308	-0.0164795	-3.98254	-1.5696	0
-98.8001	-13899	19493	12.9979	125.48	6259	213	1.89545	4.84497	0.967208	-45.9338	0.727513	-48.8397	-4.17693e-05	0.00549316	-3.56506	-1.40462	0
-98.6001	-13888	19506	13.0017	125.464	5657	415	1.65039	6.36108	1.02341	-42.561	0.677832	-52.4707	8.35387e-05	-0.00549316	-2.51587	-0.990596	0
-98.4001	-13902	19486	12.9982	125.491	6697	149	1.97296	0.878906	0.999637	-39.0399	0.688734	-57.0575	-0.000125308	0.032959	-0.401001	-0.157791	0
-98.2001	-13890	19494	12.9982	125.469	6082	345	1.82281	6.15234	0.968819	-45.2637	0.706068	-51.6467	4.17693e-05	0.0164795	0.703125	0.276684	0
-98.0001	-13889	19496	13.0011	125.491	6186	-126	1.83472	-0.769043	1.04315	-46.3513	0.656924	-50.1416	-0.000125308	0	1.07117	0.421538	0
-97.8001	-13886	19495	13.0004	125.447	5756	353	1.57013	9.6405	1.02159	-36.2988	0.668718	-60.1282	0.000208847	0	0.0714111	0.0280993	0
-97.6001	-13891	19493	12.9976	125.458	6059	745	1.76208	8.29468	1.06953	-35.4584	0.631011	-61.5839	0.000125308	0.0274658	-0.736084	-0.289655	0
-97.4001	-13895	19497	13.0023	125.475	5699	505	1.74744	0.170288	1.1362	-44.6429	0.608841	-49.2352	0	0.00549316	-2.69165	-1.05991	0
-97.2001	-13889	19499	13.0014	125.458	5886	790	1.60187	4.38354	1.01736	-42.1655	0.675867	-53.8165	0.000125308	0.0219727	-2.4939	-0.981934	0
-97.0001	-13882	19503	12.9982	125.436	5739	1085	1.59241	16.6498	0.951899	-37.3645	0.719471	-59.2438	0.000292385	0.0384521	-1.17004	-0.46046	0
-96.8001	-13891	19492	12.9992	125.469	5492	1112	1.84387	5.42175	0.965999	-39.8419	0.712144	-56.4972	4.17693e-05	0.0219727	0.527344	0.207508	0
-96.6001	-13893	19487	12.9954	125.475	6079	757	1.99585	6.00952	0.982516	-35.744	0.695346	-59.9634	0	0.0494385	1.56555	0.616176	0
-96.4001	-13886	19493	12.9976	125.469	5695	264	1.81213	3.04321	1.02018	-37.0734	0.675509	-58.7549	4.17693e-05	0	1.51611	0.596709	0
-96.2001	-13891	19494	12.9998	125.486	5533	635	1.77673	0.466919	0.950892	-40.6714	0.725904	-55.9973	-8.35387e-05	-0.00549316	1.53809	0.605361	0
-96.0001	-13893	19499	13.0014	125.475	5348	352	1.74927	1.04919	1.02925	-38.0621	0.668182	-57.9034	0	-0.0164795	-0.664673	-0.261551	0
-95.8001	-13896	19502	13.0029	125.48	5320	98	1.66412	-1.24146	0.952302	-40.6989	0.729121	-55.437	-4.17693e-05	-0.0439453	-2.02148	-0.795756	0
-95.6001	-13890	19505	13.0011	125.458	6243	291	1.69983	4.80652	0.968819	-50.9766	0.718935	-42.171	0.000125308	0.00549316	-1.37878	-0.542637	0
-95.4001	-13901	19493	13.002	125.491	6599	-208	1.87195	-2.86194	0.964388	-43.2422	0.718935	-52.5586	-0.000125308	-0.0164795	-1.15356	-0.453973	0
-95.2001	-13890	19494	12.9982	125.458	5544	876	1.66351	9.71191	0.996415	-36.4966	0.686589	-59.9744	0.000125308	0.0109863	0.280151	0.110237	0
-95.0001	-13879	19500	12.9973	125.431	4730	1601	1.61926	17.4298	0.974258	-39.2816	0.703566	-57.2443	0.000334155	0.0164795	3.02673	1.19209	0.00325963
-94.8001	-13882	19497	12.997	125.442	5158	383	1.63818	13.0902	0.964388	-37.0239	0.708927	-59.5569	0.000250616	-0.0219727	3.99902	1.57612	0.00325963
-94.6001	-13888	19495	12.9995	125.475	5791	538	1.77887	4.51538	1.04294	-40.0726	0.64781	-55.3766	0	0.00549316	2.64221	1.04041	0.00325963
-94.4001	-13885	19504	13.0011	125.458	5220	904	1.60004	6.30615	0.999839	-32.569	0.683551	-63.457	0.000125308	-0.00549316	1.57104	0.618339	0.00325963
-94.2001	-13884	19504	13.002	125.464	5098	716	1.65436	4.79553	1.06208	-43.1049	0.632084	-53.2837	8.35387e-05	0	0.807495	0.317759	0.00325963
-94.0001	-13899	19494	12.9998	125.48	5394	862	1.78589	2.96631	1.0506	-38.7653	0.646738	-57.5079	-4.17693e-05	-0.00549316	-0.461426	-0.181569	0.00325963
-93.8001	-13893	19497	12.9976	125.464	5963	495	1.79321	6.97083	1.07316	-42.4512	0.626426	-54.3109	8.35387e-05	0.0109863	-0.461426	-0.181569	0.00325963
-93.6001	-13897	19492	12.9982	125.486	5821	294	1.90369	2.75208	1.04033	-43.3301	0.652099	-53.3386	-8.35387e-05	0	0.0823975	0.0324223	0.00325963
-93.4001	-13889	19491	12.9992	125.491	5813	701	1.90765	2.02698	0.967208	-37.5568	0.707319	-59.1943	-0.000125308	0.0109863	1.07117	0.421538	0.00325963
-93.2001	-13881	19503	12.9964	125.464	6024	1239	1.87866	10.1184	1.05725	-42.7258	0.638696	-54.0912	8.35387e-05	0.0384521	1.42273	0.559939	0.00325963
-93.0001	-13892	19494	12.9998	125.491	5720	762	1.88904	1.15906	1.06389	-43.2532	0.636194	-52.1631	-0.000125308	-0.00549316	0.741577	0.291817	0.00325963
-92.8001	-13891	19502	13.0001	125.475	5943	484	1.80359	3.00476	1.09954	-45.4449	0.614747	-49.1803	0	0.0164795	-1.53809	-0.605361	0.00325963
-92.6002	-13894	19494	13.0023	125.464	5484	395	1.65802	3.17505	1.09149	-42.8247	0.62851	-52.5586	8.35387e-05	-0.00549316	-3.35083	-1.32001	0.00325963
