Time	R2M5WFSIMES	R2M5WFSQMES	R2M5WFSGMES	R2M5WFSPMES	R2M5WFSIASK	R2M5WFSQASK	R2M5WFSGASK	R2M5WFSPASK	R2M5WFSCRFP	R2M5WFSCRFPP	R2M5WFSCRRP	R2M5WFSCRRPP	R2M5WFSGLDE	R2M5WFSPLDE	R2M5WFSDETA2	R2M5WFSCFQE2	R2M5WFSDFQES
-102.4	-19080	12266	14.798	147.288	-4914	-765	1.57959	-172.826	1.41251	-32.0581	1.32071	-66.7804	0.000176274	0	11.3708	6.02109	0.00651926
-102.2	-19082	12252	14.7926	147.305	-5642	-463	1.80664	-178.314	1.31932	-27.2461	1.49252	-71.1145	4.40684e-05	0.0494385	10.2502	5.41414	0.00651926
-102	-19097	12253	14.7968	147.31	-5350	-75	1.59607	178.391	1.33285	-43.9124	1.26968	-57.3486	0	0.032959	6.67419	3.50346	0.00651926
-101.8	-19100	12257	14.7995	147.31	-5235	37	1.51062	177.693	1.26928	-43.6487	1.29646	-56.2006	0	0.0219727	4.07593	2.13347	0.00651926
-101.6	-19092	12257	14.7999	147.321	-5036	974	1.49536	174.617	1.18529	-52.6685	1.40106	-49.2517	-8.81368e-05	0	2.51038	1.31264	0.00651926
-101.4	-19105	12260	14.8033	147.332	-4702	737	1.44348	168.948	1.23732	-52.4707	1.29444	-50.625	-0.000176274	-0.0164795	-0.159302	-0.0832433	0.00651926
-101.2	-19094	12260	14.8003	147.321	-5107	350	1.54388	176.677	1.22432	-59.068	1.30555	-43.3795	-8.81368e-05	0.0164795	-1.71387	-0.895848	0.00651926
-101	-19109	12243	14.8003	147.343	-4917	1195	1.63239	169.475	1.24733	-57.6288	1.28307	-45.1813	-0.00026441	0.00549316	-2.55432	-1.33564	0.00651926
-100.8	-19109	12248	14.8003	147.343	-4919	1082	1.62506	167.563	1.31549	-53.3112	1.24606	-49.3176	-0.00026441	-0.00549316	-4.10889	-2.15079	0.00651926
-100.6	-19100	12250	14.8003	147.332	-5051	299	1.50574	170.623	1.40562	-66.8738	1.18914	-35.6451	-0.000176274	0	-5.80627	-3.0445	0.00651926
-100.4	-19102	12261	14.7999	147.332	-4384	-285	1.54785	174.056	1.42962	-59.9469	1.12484	-42.9675	-0.000176274	-0.0109863	-5.91064	-3.09961	0.00325963
-100.2	-19094	12269	14.803	147.31	-4976	1149	1.41785	170.843	1.40945	-64.3799	1.18556	-37.0953	0	-0.0384521	-7.39929	-3.88814	0.00325963
-100	-19102	12251	14.7995	147.321	-4325	-115	1.47491	176.523	1.26826	-49.4165	1.30909	-49.4824	-8.81368e-05	-0.0219727	-6.83899	-3.59078	0.00325963
-99.8	-19107	12265	14.8087	147.327	-4240	1070	1.22681	166.289	1.31575	-68.0219	1.26134	-34.986	-0.000132205	-0.0549316	-7.17957	-3.77144	0.00325963
-99.6	-19093	12256	14.7964	147.327	-5439	594	1.651	174.309	1.3183	-59.4965	1.26412	-42.226	-0.000132205	0.0439453	-6.46545	-3.39293	0.00325963
-99.4	-19107	12249	14.8041	147.365	-4569	1537	1.56342	155.704	1.3543	-69.3347	1.22161	-33.6401	-0.000440684	-0.0439453	-8.38257	-4.41183	0.00325963
-99.2001	-19099	12257	14.8049	147.338	-4741	1488	1.43951	163.191	1.25573	-59.6228	1.27978	-43.6761	-0.000220342	-0.0384521	-7.81677	-4.11018	0
-99.0001	-19101	12242	14.7941	147.332	-4984	811	1.70715	172.722	1.43243	-57.7771	1.14782	-44.632	-0.000176274	0.0164795	-6.63025	-3.48018	0
-98.8001	-19109	12245	14.8026	147.36	-4809	1091	1.54724	160.939	1.25856	-59.1779	1.31086	-42.951	-0.000396616	-0.0219727	-5.38879	-2.82424	0
-98.6001	-19101	12248	14.7957	147.31	-5442	264	1.64551	179	1.15307	-52.6849	1.39828	-50.8173	0	0.0439453	-5.19104	-2.72002	0
-98.4001	-19097	12250	14.8007	147.305	-5148	769	1.4566	-178.907	1.21271	-55.4645	1.34598	-48.0432	4.40684e-05	0.00549316	-3.70789	-1.94026	0
-98.2001	-19104	12252	14.8003	147.31	-5097	597	1.47339	177.693	1.18629	-49.5428	1.372	-52.9706	0	0.0109863	-1.24695	-0.651695	0
-98.0001	-19099	12251	14.8014	147.294	-4784	-429	1.43097	-174.716	1.09704	-50.2405	1.47686	-50.2515	0.000132205	-0.0109863	-0.32959	-0.172229	-0.00325963
-97.8001	-19098	12252	14.8007	147.36	-5136	1332	1.63635	163.081	1.30885	-55.9534	1.26538	-46.4117	-0.000396616	-0.00549316	2.12036	1.1085	-0.00325963
-97.6001	-19091	12248	14.7964	147.294	-5346	43	1.62476	-174.979	1.21131	-48.8452	1.44553	-54.1901	0.000132205	0.032959	4.3396	2.272	-0.00325963
-97.4001	-19077	12254	14.791	147.277	-5709	-852	1.80267	-167.811	1.21791	-30.6299	1.443	-69.3787	0.00026441	0.0714111	5.67444	2.97491	-0.00325963
-97.2001	-19085	12271	14.7968	147.305	-5199	-925	1.58417	-177.319	1.37217	-35.6836	1.38464	-66.2146	4.40684e-05	0.0164795	7.70691	4.05171	-0.00325963
-97.0001	-19083	12265	14.7995	147.255	-4871	-1497	1.49078	-162.076	1.2051	-41.6602	1.42203	-59.1449	0.000440684	0.0164795	7.25647	3.81227	-0.00325963
-96.8001	-19080	12274	14.7972	147.239	-4982	-1266	1.65558	-155.715	1.33847	-54.0637	1.26589	-49.2352	0.000572889	0.0219727	7.96509	4.18917	-0.00325963
-96.6001	-19097	12262	14.7999	147.266	-4522	-1298	1.48315	-167.338	1.42732	-40.7703	1.27347	-63.7592	0.000352547	-0.0109863	9.56909	5.04734	-0.00325963
-96.4001	-19079	12267	14.793	147.31	-5179	-488	1.74957	-179.769	1.48962	-45.769	1.25502	-57.1124	0	0.0274658	11.7993	6.25439	-0.00325963
-96.2001	-19090	12267	14.7983	147.25	-5156	-1791	1.54999	-157.852	1.33719	-38.9465	1.35204	-59.0405	0.000484752	0.0384521	12.1729	6.45838	-0.00651926
-96.0001	-19077	12268	14.7926	147.255	-5109	-2188	1.80664	-163.087	1.33285	-26.7957	1.51046	-69.6149	0.000440684	0.0384521	13.9746	7.45076	-0.00651926
-95.8001	-19080	12261	14.7945	147.283	-5018	-777	1.77185	-169.08	1.46204	-34.2883	1.42405	-62.9517	0.000220342	0.0109863	16.485	8.86006	-0.00651926
-95.6001	-19078	12268	14.7964	147.294	-5145	-767	1.64551	-174.309	1.4697	-36.0187	1.38085	-65.094	0.000132205	0.0274658	17.1552	9.24227	-0.00325963
-95.4001	-19079	12263	14.7922	147.266	-5285	-1896	1.72272	-164.658	1.58383	-36.4691	1.2957	-66.6376	0.000352547	0.0549316	18.5614	10.0534	-0.00325963
-95.2001	-19072	12268	14.7903	147.277	-5822	-635	1.84723	-166.915	1.54043	-32.113	1.5908	-70.6366	0.00026441	0.0823975	19.9127	10.8456	-0.00325963
-95.0001	-19080	12249	14.7864	147.277	-6030	-2386	1.98395	-162.208	1.65481	-30.0696	1.72244	-77.1954	0.00026441	0.115356	22.9395	12.6714	-0.00325963
-94.8001	-19075	12268	14.7914	147.261	-5857	-2105	1.86554	-161.526	1.34	-22.4176	1.75099	-72.2351	0.000396616	0.0933838	21.5497	11.8236	-0.00325963
-94.6001	-19074	12266	14.7926	147.255	-5506	-1920	1.72272	-162.488	1.55702	-36.3867	1.44527	-65.6543	0.000440684	0.0439453	21.1871	11.6052	-0.00325963
-94.4001	-19081	12272	14.7945	147.283	-5475	-790	1.7218	-171.98	1.50162	-29.8499	1.49404	-74.5862	0.000220342	0.0494385	20.6323	11.2729	-0.00325963
-94.2001	-19074	12268	14.7934	147.266	-5534	-846	1.71509	-170.184	1.56621	-30.8221	1.58676	-70.8838	0.000352547	0.0494385	21.2805	11.6613	-0.00325963
-94.0001	-19077	12266	14.7968	147.261	-5112	-2100	1.62781	-159.384	1.58332	-32.168	1.41495	-67.5165	0.000396616	0.0384521	19.5941	10.6576	-0.00325963
-93.8001	-19079	12269	14.793	147.277	-5940	-1230	1.7688	-169.958	1.48681	-37.8094	1.37781	-66.5112	0.00026441	0.065918	18.3252	9.91628	-0.00325963
-93.6001	-19081	12259	14.791	147.277	-5443	-1414	1.79535	-166.767	1.49421	-37.5842	1.4051	-64.2151	0.00026441	0.0714111	18.3252	9.91628	-0.00325963
-93.4001	-19086	12266	14.7987	147.305	-5089	-743	1.54999	-178.033	1.42145	-43.1213	1.46119	-59.2163	4.40684e-05	0.0219727	16.6882	8.97569	0
-93.2001	-19078	12264	14.7922	147.277	-5326	-1074	1.74622	-168.679	1.37013	-38.8751	1.51753	-64.0723	0.00026441	0.0549316	16.4905	8.86318	0
-93.0001	-19084	12263	14.7918	147.277	-5895	-1285	1.7923	-169.568	1.28434	-38.8202	1.55796	-65.5499	0.00026441	0.0823975	15.1776	8.12192	0
-92.8001	-19072	12273	14.7899	147.283	-5828	-777	1.88721	-171.238	1.39489	-41.5118	1.36922	-63.7042	0.000220342	0.0878906	13.7054	7.30157	0
-92.6002	-19084	12261	14.7983	147.283	-5279	135	1.54144	-173.123	1.46077	-42.6819	1.25452	-58.7714	0.000220342	0.0219727	11.4697	6.07487	0
-92.4002	-19098	12248	14.7995	147.321	-4990	412	1.52832	175.259	1.45617	-43.5114	1.26942	-60.3809	-8.81368e-05	-0.00549316	9.51965	5.02078	0
-92.2002	-19089	12252	14.7934	147.321	-5833	716	1.78528	176.309	1.34051	-51.5479	1.30884	-52.6794	-8.81368e-05	0.065918	7.63	4.01079	0.00325963
-92.0002	-19091	12250	14.8003	147.294	-5202	1099	1.49628	-176.885	1.35277	-48.1146	1.27296	-55.9259	0.000132205	0.0109863	4.68018	2.45108	0.00325963
-91.8002	-19098	12261	14.8003	147.283	-4094	-62	1.43921	-172.529	1.23672	-38.7048	1.38691	-62.9242	0.000220342	-0.0439453	2.91138	1.52265	0.00325963
-91.6002	-19090	12250	14.7976	147.321	-5118	558	1.58386	176.935	1.29864	-60.5896	1.2292	-43.0664	-8.81368e-05	0.0164795	-0.834961	-0.436339	0.00325963
-91.4002	-19106	12247	14.8007	147.343	-4495	715	1.59576	167.58	1.28358	-57.3926	1.27195	-45.6427	-0.00026441	-0.0219727	-4.92737	-2.58116	0.00325963
-91.2002	-19101	12254	14.803	147.338	-4725	377	1.48804	168.107	1.31702	-57.9419	1.23468	-44.7363	-0.000220342	-0.00549316	-6.45447	-3.38712	0.00325963
