Time	R044WFSIMES	R044WFSQMES	R044WFSGMES	R044WFSPMES	R044WFSIASK	R044WFSQASK	R044WFSGASK	R044WFSPASK	R044WFSCRFP	R044WFSCRFPP	R044WFSCRRP	R044WFSCRRPP	R044WFSGLDE	R044WFSPLDE	R044WFSDETA2	R044WFSCFQE2	R044WFSDFQES
-102.4	-13267	17743	14.182	126.804	7590	-3115	2.53998	-21.7914	1.46407	-32.6404	1.43913	47.049	-0.000180554	0	0.653687	0.329728	0.110827
-102.2	-13272	17736	14.1828	126.815	7503	-3918	2.58362	-27.5757	1.50466	-35.1837	1.39651	49.6912	-0.000361109	-0.0109863	-1.12061	-0.565296	0.110827
-102	-13269	17741	14.1864	126.782	7201	-2307	2.25281	-19.7644	1.46029	-35.321	1.42469	49.8505	-0.000135416	-0.0439453	-3.27393	-1.65314	0.110827
-101.8	-13280	17741	14.1864	126.799	6948	-2498	2.41852	-25.3345	1.53227	-32.6404	1.37091	47.6752	-0.00031597	-0.0384521	-5.04272	-2.5501	0.110827
-101.6	-13270	17752	14.1892	126.771	6550	-2702	2.19177	-22.5879	1.44382	-36.947	1.44928	50.5701	-0.000180554	-0.0549316	-6.74011	-3.41542	0.110827
-101.4	-13263	17753	14.1864	126.771	6891	-2577	2.2818	-23.1317	1.46799	-36.4966	1.43227	51.0974	-0.000225693	-0.0439453	-7.77832	-3.9476	0.110827
-101.2	-13268	17755	14.1904	126.771	6569	-3705	2.3349	-28.7457	1.55497	-40.8801	1.37392	55.6567	-0.00031597	-0.065918	-8.39355	-4.26419	0.110827
-101	-13254	17760	14.1864	126.738	7432	-3009	2.30682	-20.4071	1.50873	-39.6661	1.4101	53.9813	-9.02771e-05	-0.0219727	-9.28345	-4.7239	0.110827
-100.8	-13259	17762	14.1852	126.744	6688	-2843	2.38037	-22.4066	1.43855	-35.755	1.45458	50.1746	-0.000180554	-0.0604248	-7.98157	-4.05208	0.110827
-100.6	-13250	17753	14.1848	126.733	7495	-2069	2.4469	-22.0441	1.44571	-31.8329	1.44156	46.5875	-0.000180554	-0.0109863	-7.27295	-3.68824	0.110827
-100.4	-13251	17758	14.1884	126.716	7196	-3332	2.27753	-20.1984	1.47758	-33.7061	1.4151	48.62	-9.02771e-05	-0.0384521	-5.39978	-2.7317	0.110827
-100.2	-13237	17766	14.1828	126.683	7518	-2210	2.38708	-10.7831	1.54922	-33.5028	1.36376	47.6697	9.02771e-05	-0.0274658	-4.422	-2.23486	0.107568
-100	-13233	17762	14.1816	126.689	7283	-1513	2.35657	-16.6553	1.45543	-32.7448	1.4347	47.0984	0	0	-2.74109	-1.38364	0.107568
-99.8	-13227	17767	14.182	126.661	7975	-904	2.32239	-8.97583	1.47582	-32.2559	1.42454	46.4392	0.000180554	0.0164795	0.560303	0.282621	0.107568
-99.6	-13226	17772	14.1809	126.656	7486	-548	2.41852	-10.9259	1.51601	-25.9772	1.42526	40.1385	0.000135416	-0.0164795	3.57056	1.80329	0.107568
-99.4	-13221	17776	14.1816	126.645	7856	-1063	2.41852	-9.3219	1.47744	-19.7864	1.54505	35.2332	0.000180554	0.00549316	6.71265	3.40138	0.107568
-99.2001	-13208	17782	14.1785	126.623	8491	-1029	2.52136	-4.97131	1.50396	-22.3132	1.55087	36.9305	0.000270831	0.0494385	9.55811	4.86625	0.107568
-99.0001	-13215	17776	14.1797	126.612	8205	-744	2.48932	-4.83398	1.48925	-12.8046	1.67309	30.8826	0.00031597	0.0219727	12.0245	6.15571	0.107568
-98.8001	-13200	17779	14.1765	126.584	8557	-257	2.68372	0.428467	1.53016	-10.4095	1.73545	28.3337	0.000496524	0.0439453	14.5404	7.49567	0.107568
-98.6001	-13193	17782	14.1773	126.579	8469	301	2.59644	-2.27966	1.67197	-11.0852	1.57298	28.4216	0.000451386	0.0549316	16.1664	8.3777	0.107568
-98.4001	-13183	17784	14.1749	126.568	8630	183	2.67212	2.26318	1.70028	-5.42725	1.66012	22.3352	0.000496524	0.0604248	17.8693	9.31716	0.107568
-98.2001	-13195	17784	14.1773	126.562	8403	718	2.62207	-2.65869	1.74498	-8.06396	1.63667	25.1917	0.000451386	0.0384521	19.5447	10.2592	0.107568
-98.0001	-13183	17792	14.1741	126.519	8559	422	2.73102	11.25	1.70532	-10.882	1.71699	25.7849	0.000767356	0.0714111	20.484	10.7959	0.107568
-97.8001	-13177	17793	14.1777	126.519	8525	1062	2.59979	10.4095	1.69397	-6.03149	1.7436	21.8298	0.000722217	0.0384521	20.5334	10.8243	0.107568
-97.6001	-13178	17795	14.1785	126.546	8559	422	2.56348	-2.19727	1.65992	-13.0847	1.72098	29.2511	0.000406247	0.032959	20.4565	10.7801	0.107568
