Time	R042WFSIMES	R042WFSQMES	R042WFSGMES	R042WFSPMES	R042WFSIASK	R042WFSQASK	R042WFSGASK	R042WFSPASK	R042WFSCRFP	R042WFSCRFPP	R042WFSCRRP	R042WFSCRRPP	R042WFSGLDE	R042WFSPLDE	R042WFSDETA2	R042WFSCFQE2	R042WFSDFQES
-102.4	-23986	1429	15.8022	176.583	-11846	7905	4.2926	145.464	1.55293	-68.7085	1.3471	-100.833	0.000166452	-0.0109863	3.98254	1.57912	0.00325963
-102.2	-23983	1437	15.7985	176.578	-12304	7892	4.44855	147.755	1.58298	-64.0997	1.32288	-105.518	0.000208065	0.00549316	3.68042	1.45898	0.00325963
-102	-23984	1431	15.7977	176.578	-12284	7401	4.48273	147.92	1.47752	-64.8743	1.41123	-103.76	0.000208065	0.0109863	4.15283	1.64687	0.00325963
-101.8	-23984	1436	15.7985	176.583	-11965	8929	4.49188	148.953	1.42052	-69.1205	1.45683	-100.432	0.000166452	0.0109863	3.01575	1.19495	0.00325963
-101.6	-23989	1416	15.8018	176.594	-11527	8103	4.32526	146.618	1.44178	-66.9562	1.44362	-101.887	8.32258e-05	-0.0109863	3.18604	1.26256	0.00325963
-101.4	-23986	1423	15.8018	176.594	-11317	7936	4.33807	146.173	1.50744	-63.3636	1.38442	-105.266	8.32258e-05	-0.0274658	3.14209	1.24511	0.00325963
-101.2	-23990	1418	15.8022	176.611	-11748	8984	4.36462	142.196	1.51719	-66.2421	1.35591	-102.783	-4.16129e-05	-0.0219727	1.95557	0.774453	0.00325963
-101	-23990	1422	15.8034	176.594	-11775	8253	4.30664	145.031	1.53357	-69.5435	1.33985	-99.646	8.32258e-05	-0.0109863	0.565796	0.223989	0.00325963
-100.8	-23986	1423	15.8014	176.605	-11464	9173	4.44672	142.185	1.54833	-67.7472	1.32042	-101.624	0	-0.0164795	-0.0714111	-0.0282696	0.00325963
-100.6	-23991	1421	15.8042	176.594	-11084	9213	4.2688	143.745	1.54088	-69.1534	1.32171	-100.432	8.32258e-05	-0.0219727	-1.61499	-0.639497	0.00325963
-100.4	-23989	1416	15.7981	176.633	-11060	9330	4.7467	138.983	1.50067	-73.4656	1.35721	-95.4437	-0.000208065	0.0109863	-2.48291	-0.983528	0.00325963
-100.2	-23997	1418	15.8042	176.622	-11334	9655	4.43237	138.257	1.51786	-71.8176	1.33972	-97.7234	-0.000124839	-0.00549316	-3.74084	-1.483	0.00325963
-100	-23991	1414	15.8038	176.644	-10457	10327	4.55505	134.835	1.54305	-78.2007	1.32197	-91.1151	-0.00029129	-0.0384521	-4.70215	-1.86563	0.00325963
-99.8	-24003	1405	15.8058	176.633	-10628	9504	4.45709	136.796	1.52626	-68.5052	1.344	-100.591	-0.000208065	-0.0219727	-6.2677	-2.49114	0.00325963
-99.6	-24000	1412	15.8111	176.633	-10231	9050	4.14917	134.16	1.51407	-74.1962	1.35371	-95.2679	-0.000208065	-0.0714111	-6.41602	-2.55058	0.00325963
-99.4	-23996	1415	15.8074	176.633	-10649	9381	4.35272	135.379	1.52585	-78.2556	1.35436	-91.0767	-0.000208065	-0.0384521	-7.51465	-2.99201	0.00325963
-99.2001	-23997	1406	15.8062	176.644	-9990	10345	4.41956	134.264	1.52111	-76.3	1.36744	-93.4113	-0.00029129	-0.0604248	-8.39905	-3.34896	0.00325963
-99.0001	-23995	1409	15.8038	176.655	-10512	10215	4.64386	133.401	1.57134	-76.1627	1.31601	-93.23	-0.000374516	-0.0384521	-8.5199	-3.39786	0.00325963
-98.8001	-23995	1416	15.8042	176.633	-10939	9934	4.46411	136.879	1.53695	-75.5035	1.35073	-93.8397	-0.000208065	-0.0109863	-9.81079	-3.92221	0.00325963
-98.6001	-23994	1409	15.8078	176.638	-10250	10274	4.33868	134.127	1.56146	-80.5682	1.34063	-88.7091	-0.000249678	-0.0549316	-10.2008	-4.08142	0.00325963
-98.4001	-23992	1407	15.8026	176.66	-10293	10654	4.66492	133.033	1.53452	-80.3101	1.3563	-88.4839	-0.000416129	-0.0384521	-9.82178	-3.92669	0.00325963
-98.2001	-23994	1410	15.8066	176.66	-10117	10769	4.60907	130.71	1.57567	-79.4531	1.31899	-89.9835	-0.000416129	-0.0494385	-10.6073	-4.24776	0.00325963
-98.0001	-23997	1411	15.8086	176.633	-9906	10597	4.15314	135.901	1.54629	-81.3977	1.3598	-88.0499	-0.000208065	-0.0714111	-11.4093	-4.57727	0.00325963
-97.8001	-23995	1405	15.8026	176.638	-10972	9595	4.58008	136.022	1.53709	-73.6194	1.34257	-95.6415	-0.000249678	-0.0109863	-10.1404	-4.05673	0.00325963
-97.6001	-24000	1401	15.8086	176.66	-9523	11255	4.47723	130.6	1.55807	-76.0583	1.33363	-92.9498	-0.000416129	-0.0714111	-9.7229	-3.88639	0.00325963
-97.4001	-23998	1405	15.8062	176.627	-10341	9098	4.30847	137.208	1.55198	-79.7662	1.34568	-89.1431	-0.000166452	-0.0604248	-10.2557	-4.10387	0.00325963
-97.2001	-24001	1400	15.8066	176.682	-10005	10255	4.7757	128.331	1.57865	-80.0409	1.32482	-89.0332	-0.000582581	-0.0604248	-10.1788	-4.07244	0
