Time	R047WFSIMES	R047WFSQMES	R047WFSGMES	R047WFSPMES	R047WFSIASK	R047WFSQASK	R047WFSGASK	R047WFSPASK	R047WFSCRFP	R047WFSCRFPP	R047WFSCRRP	R047WFSCRRPP	R047WFSGLDE	R047WFSPLDE	R047WFSDETA2	R047WFSCFQE2	R047WFSDFQES
-102.4	13642	-16166	15.7141	-49.8395	-6977	335	2.27905	-179.423	1.92877	-128.309	1.0511	-143.888	-0.00014179	-0.0109863	-1.59851	-0.767939	0
-102.2	13647	-16175	15.7218	-49.8395	-6605	-359	1.99066	179.698	1.98445	-128.331	1.02295	-143.366	-0.00014179	-0.0164795	-1.75232	-0.841874	0
-102	13647	-16176	15.7205	-49.845	-6842	-513	2.05719	-179.819	1.95673	-129.457	1.03722	-141.575	-9.45269e-05	-0.0219727	-1.41724	-0.680816	0
-101.8	13639	-16179	15.7167	-49.8615	-6730	-485	2.01752	-173.721	1.90452	-127.266	1.06345	-145.448	4.72634e-05	0	-0.598755	-0.287583	0
-101.6	13637	-16179	15.7158	-49.8615	-6884	-251	2.06696	-175.045	1.87223	-127.601	1.0823	-144.388	4.72634e-05	-0.0164795	-0.6427	-0.308692	0
-101.4	13640	-16169	15.7175	-49.845	-6963	-641	2.12402	-178.912	1.97959	-126.92	1.02907	-145.767	-9.45269e-05	0.00549316	-0.675659	-0.324524	0
-101.2	13638	-16174	15.7158	-49.8615	-6939	-36	2.08832	-176.111	1.96019	-129.836	1.03174	-142.614	4.72634e-05	-0.0109863	-0.00549316	-0.00263828	0
-101	13634	-16172	15.7128	-49.8669	-6791	-1290	2.15546	-170.612	1.88812	-124.244	1.06651	-148.672	9.45269e-05	0.0164795	0.214233	0.102893	0
-100.8	13636	-16171	15.7149	-49.8669	-6868	-608	2.08435	-171.233	1.84682	-122.745	1.09185	-150.117	9.45269e-05	0.00549316	1.42273	0.683455	0
-100.6	13636	-16175	15.7167	-49.8779	-6601	-1786	1.94275	-169.678	1.8669	-123.843	1.08026	-148.672	0.000189054	0.00549316	1.81824	0.873564	0
-100.4	13647	-16168	15.7188	-49.845	-6751	-531	2.07886	-177.358	1.90013	-126.151	1.05759	-146.047	-9.45269e-05	0.00549316	1.90063	0.91318	0
-100.2	13644	-16170	15.7154	-49.8889	-6459	-1101	2.00623	-167.569	1.88973	-125.156	1.06663	-146.942	0.000283581	-0.00549316	1.54358	0.741537	0
-100	13633	-16176	15.7149	-49.8395	-6906	-294	2.22778	-178.336	1.87541	-121.987	1.07619	-150.837	-0.00014179	-0.0109863	0.944824	0.453826	0
-99.8	13647	-16161	15.7149	-49.823	-6999	-336	2.3111	177.012	1.838	-122.723	1.09911	-150.353	-0.000283581	-0.0109863	0.692139	0.33244	0
-99.6	13640	-16173	15.7167	-49.856	-6905	-864	2.02026	-176.391	1.90544	-126.486	1.05912	-145.767	0	0.00549316	0.527344	0.253282	0
-99.4	13637	-16175	15.7136	-49.8615	-6921	-455	2.13409	-172.079	1.93201	-124.915	1.04002	-147.849	4.72634e-05	0.00549316	0.76355	0.366743	0
-99.2001	13639	-16170	15.7158	-49.8669	-6786	-788	2.05658	-173.128	1.8962	-124.552	1.05899	-148.332	9.45269e-05	0.0109863	1.12061	0.538278	0
-99.0001	13633	-16175	15.7167	-49.8669	-6301	-1400	2.00775	-174.49	1.86362	-122.86	1.08344	-150.172	9.45269e-05	-0.00549316	1.21399	0.583148	0
-98.8001	13648	-16170	15.7167	-49.8669	-6472	-696	2.03674	-175.232	1.94587	-124.871	1.03225	-147.519	9.45269e-05	-0.0109863	1.40076	0.672896	0
-98.6001	13634	-16175	15.7158	-49.845	-7203	-236	2.1991	-178.121	1.86915	-122.855	1.0781	-149.568	-9.45269e-05	-0.00549316	0.85144	0.408964	0
-98.4001	13635	-16178	15.7136	-49.8395	-7221	-334	2.28088	-179.401	1.88696	-123.184	1.07045	-149.667	-0.00014179	0	0.741577	0.356188	0
-98.2001	13630	-16176	15.7136	-49.8505	-6932	-905	2.1756	-177.133	1.84026	-123.036	1.09924	-149.601	-4.72634e-05	0.0164795	0.76355	0.366743	0
-98.0001	13636	-16175	15.7158	-49.856	-7259	-18	2.09564	-175.721	1.88511	-123.096	1.06689	-149.782	0	0.00549316	1.12061	0.538278	0
-97.8001	13639	-16167	15.7136	-49.8615	-6985	-748	2.13501	-174.688	1.91653	-125.717	1.05021	-146.343	4.72634e-05	0.0109863	1.73035	0.831311	0
-97.6001	13632	-16172	15.7132	-49.8889	-6817	-1393	2.11853	-164.751	1.84682	-122.014	1.09236	-150.485	0.000283581	0.0274658	1.77429	0.852437	0.00325963
-97.4001	13635	-16176	15.7162	-49.845	-6596	-826	2.19727	178.275	1.96158	-121.915	1.0255	-151.068	-9.45269e-05	-0.0109863	2.16431	1.03998	0.00325963
-97.2001	13642	-16174	15.7132	-49.8669	-6812	-883	2.19299	-172.639	1.88188	-120.718	1.06714	-152.051	9.45269e-05	0.0219727	2.23022	1.07168	0.00325963
-97.0001	13637	-16175	15.7184	-49.8779	-6968	-647	1.99219	-170.64	1.86751	-119.372	1.0786	-153.929	0.000189054	0	2.72461	1.30957	0.00325963
-96.8001	13636	-16174	15.7145	-49.8724	-7111	-1278	2.13593	-169.969	1.8992	-118.779	1.06383	-154.254	0.00014179	0.0219727	3.44971	1.65885	0.00325963
-96.6001	13634	-16171	15.7115	-49.8669	-7088	-1180	2.2052	-169.832	1.8761	-119.586	1.08306	-153.792	9.45269e-05	0.0274658	3.81226	1.83367	0.00325963
-96.4001	13634	-16173	15.7132	-49.8779	-7150	-961	2.17194	-167.723	1.92277	-116.526	1.04931	-155.88	0.000189054	0.032959	4.49341	2.16255	0.00325963
-96.2001	13636	-16169	15.7128	-49.8669	-6838	-1435	2.14874	-169.217	1.9394	-122.86	1.03836	-149.821	9.45269e-05	0.0384521	4.6637	2.24486	0.00325963
-96.0001	13636	-16172	15.7149	-49.8944	-6406	-1832	2.00958	-161.702	1.81977	-118.043	1.12712	-154.6	0.000330844	0.00549316	5.20203	2.50534	0.00325963
-95.8001	13630	-16177	15.7128	-49.8834	-6578	-1247	2.09503	-168.03	1.88165	-112.44	1.07529	-158.851	0.000236317	0.00549316	5.66895	2.73163	0.00325963
-95.6001	13632	-16176	15.7123	-49.8944	-6929	-970	2.16095	-164.328	1.95395	-119.213	1.03518	-154.517	0.000330844	0.0219727	5.83374	2.81158	0.00325963
-95.4001	13630	-16176	15.7123	-49.8889	-6721	-1933	2.11945	-164.68	1.94102	-117.136	1.06001	-156.533	0.000283581	0.0219727	7.03674	3.39673	0.00325963
-95.2001	13627	-16174	15.7093	-49.8944	-6971	-1678	2.2702	-164.02	1.86301	-114.791	1.10471	-158.829	0.000330844	0.0439453	7.84973	3.79387	0.00325963
