Time	R2M7WFSIMES	R2M7WFSQMES	R2M7WFSGMES	R2M7WFSPMES	R2M7WFSIASK	R2M7WFSQASK	R2M7WFSGASK	R2M7WFSPASK	R2M7WFSCRFP	R2M7WFSCRFPP	R2M7WFSCRRP	R2M7WFSCRRPP	R2M7WFSGLDE	R2M7WFSPLDE	R2M7WFSDETA2	R2M7WFSCFQE2	R2M7WFSDFQES
-102.4	-2	-3366	16.9021	-7.7179	8023	640	2.40692	1.90063	2.18079	88.2092	2.04498	143.828	-7.98594e-05	-0.0109863	-1.4502	-0.757961	0
-102.2	-2	-3366	16.907	-7.7179	7989	19	2.35474	0.840454	2.31517	91.5161	1.91908	140.625	-7.98594e-05	-0.0274658	-2.35107	-1.22924	0
-102	-2	-3372	16.8994	-7.73987	7838	742	2.40326	5.41077	2.25654	87.3633	1.97473	144.745	7.98594e-05	0.0164795	-2.60376	-1.36153	0
-101.8	-2	-3373	16.9006	-7.73987	7742	859	2.40845	4.59778	2.29478	86.424	1.95525	146.497	7.98594e-05	0.0109863	-2.91138	-1.52265	0
-101.6	-2	-3370	16.9021	-7.75085	7925	947	2.35596	6.427	2.30825	86.38	1.93056	145.75	0.000159719	0.0219727	-3.81226	-1.99504	0
-101.4	-2	-3365	16.9009	-7.73987	7469	952	2.3053	6.95984	2.25435	85.3253	1.99212	146.97	7.98594e-05	-0.0274658	-4.00452	-2.09597	-0.00325963
-101.2	-2	-3364	16.9006	-7.7124	7325	842	2.43896	2.05444	2.40185	88.396	1.85585	144.031	-0.000119789	-0.00549316	-3.06519	-1.60324	-0.00325963
-101	-2	-3369	16.9032	-7.72339	7698	241	2.37274	1.71936	2.20664	92.2742	2.01646	140.032	-3.99297e-05	-0.0384521	-2.79602	-1.46222	-0.00325963
-100.8	-2	-3380	16.904	-7.75635	7415	657	2.2049	7.65198	2.20082	90.5713	2.0262	141.432	0.000199649	-0.0274658	-3.20801	-1.6781	-0.00325963
-100.6	-2	-3370	16.9025	-7.7124	7907	541	2.41302	1.08765	2.31554	89.5276	1.9243	142.136	-0.000119789	-0.0109863	-2.12036	-1.1085	-0.00325963
-100.4	-2	-3367	16.9021	-7.72888	7686	490	2.3291	3.72986	2.19645	91.7963	2.02898	140.059	0	-0.0109863	-1.79077	-0.936072	-0.00325963
-100.2	-2	-3380	16.9032	-7.72888	7549	764	2.31995	3.04871	2.2864	92.5928	1.94621	139.208	0	-0.0274658	-1.58203	-0.8269	-0.00325963
-100	-2	-3380	16.9006	-7.75635	7856	1022	2.28699	7.56958	2.21575	91.5875	2.00951	140.427	0.000199649	0	-1.90063	-0.99354	-0.00325963
-99.8	-2	-3372	16.9028	-7.76733	7487	449	2.23907	9.55261	2.22995	87.7478	2.00221	144.542	0.000279508	-0.0274658	-3.51562	-1.8394	-0.00325963
-99.6	-2	-3354	16.9044	-7.69592	7612	688	2.453	-1.4447	2.27111	93.7408	1.95838	138.197	-0.000239578	-0.0164795	-3.44421	-1.80194	-0.00325963
-99.4	-2	-3355	16.899	-7.72339	7950	906	2.48413	3.26843	2.18698	89.6375	2.04603	142.581	-3.99297e-05	0.032959	-4.92737	-2.58116	-0.00325963
-99.2001	-2	-3354	16.9051	-7.7124	7422	346	2.36481	0.241699	2.15274	88.4784	2.0742	143.558	-0.000119789	-0.0439453	-4.36157	-2.28355	-0.00325963
-99.0001	-2	-3365	16.8979	-7.72339	8343	334	2.48138	3.74634	2.28312	88.0829	1.95178	144.509	-3.99297e-05	0.032959	-3.97156	-2.07867	-0.00325963
