Time	R045WFSIMES	R045WFSQMES	R045WFSGMES	R045WFSPMES	R045WFSIASK	R045WFSQASK	R045WFSGASK	R045WFSPASK	R045WFSCRFP	R045WFSCRFPP	R045WFSCRRP	R045WFSCRRPP	R045WFSGLDE	R045WFSPLDE	R045WFSDETA2	R045WFSCFQE2	R045WFSDFQES
-102.4	15	-20790	13.9425	-89.9286	-7686	1415	2.38495	169.563	2.03273	8.54187	1.74272	145.459	1.10327	14.3536	-7.26746	-3.97719	14.3521
-102.2	133	-20790	13.9441	-89.621	-7692	1377	2.38495	169.871	2.03781	8.78357	1.74081	145.838	1.1006	14.3262	-7.37183	-4.03494	14.5445
-102	256	-20786	13.9425	-89.2969	-7699	1331	2.38495	170.195	2.03805	9.17908	1.73906	146.162	1.09778	14.3481	-7.38281	-4.04102	14.5445
-101.8	407	-20786	13.9453	-88.8904	-7710	1276	2.38495	170.601	2.04046	9.69543	1.73569	146.442	1.09425	14.2877	-7.28943	-3.98935	14.5445
-101.6	571	-20781	13.9441	-88.4454	-7720	1213	2.38495	171.046	2.04046	10.0854	1.73569	146.986	1.09039	14.3427	-7.25098	-3.96808	14.6846
-101.4	726	-20775	13.9437	-87.9675	-7729	1151	2.38495	171.524	2.03805	10.4755	1.73979	147.464	1.08624	14.3152	-7.27844	-3.98327	14.6846
-101.2	917	-20774	13.9488	-87.4567	-7738	1080	2.38495	172.035	2.03636	10.9918	1.74228	147.975	1.0818	14.2932	-7.27295	-3.98023	14.6846
-101	1102	-20769	13.9464	-86.9623	-7749	1013	2.38495	172.524	2.03611	11.5631	1.7414	148.387	1.07751	14.3317	-7.27295	-3.98023	14.7368
-100.8	1291	-20762	13.9507	-86.4459	-7758	944	2.38495	173.051	2.04095	12.1783	1.73599	148.887	1.07303	14.2548	-7.20703	-3.94377	14.7368
-100.6	1500	-20743	13.9461	-85.8801	-7765	867	2.38495	173.617	2.04433	13.0737	1.72896	149.09	1.06811	14.3042	-6.97632	-3.81624	14.7368
-100.4	1712	-20731	13.9546	-85.2814	-7774	792	2.38495	174.21	2.04095	13.8593	1.73233	149.496	1.06291	14.2548	-6.69617	-3.66156	14.6879
-100.2	1934	-20714	13.9546	-84.6881	-7782	708	2.38495	174.803	2.03563	14.491	1.73599	150.062	1.05776	14.2548	-6.56433	-3.58883	14.6879
-100	2159	-20693	13.9566	-84.0399	-7790	615	2.38495	175.446	2.02862	15.1282	1.74286	150.634	1.05213	14.2163	-6.56982	-3.59186	14.5216
-99.8	2405	-20666	13.9554	-83.3423	-7798	526	2.38495	176.149	2.02475	15.7159	1.74711	151.419	1.04608	14.2493	-6.65222	-3.63731	14.5216
