Time	R2M7WFSIMES	R2M7WFSQMES	R2M7WFSGMES	R2M7WFSPMES	R2M7WFSIASK	R2M7WFSQASK	R2M7WFSGASK	R2M7WFSPASK	R2M7WFSCRFP	R2M7WFSCRFPP	R2M7WFSCRRP	R2M7WFSCRRPP	R2M7WFSGLDE	R2M7WFSPLDE	R2M7WFSDETA2	R2M7WFSCFQE2	R2M7WFSDFQES
-102.4	24828	-3334	16.907	-7.65747	7966	-651	2.56378	-9.26147	2.25982	80.321	2.10237	152.166	-0.000519086	-0.0604248	-14.4141	-7.69509	-0.00651926
-102.2	24825	-3338	16.9051	-7.65747	8411	-1185	2.56958	-7.08618	2.27366	76.7999	2.1681	155.099	-0.000519086	-0.0439453	-14.6722	-7.83908	-0.00651926
-102	24831	-3344	16.907	-7.66846	7791	-985	2.51587	-6.89392	2.33994	78.4259	2.10828	153.062	-0.000439227	-0.0878906	-14.6832	-7.84521	-0.00651926
-101.8	24830	-3340	16.907	-7.65198	8289	-1193	2.55676	-8.66821	2.21975	81.546	2.16706	150.123	-0.000559016	-0.0604248	-14.3811	-7.67673	-0.00977889
-101.6	24829	-3342	16.9055	-7.66846	8207	-1254	2.56287	-5.99854	2.37563	75.3442	2.10967	158.45	-0.000439227	-0.0714111	-14.447	-7.71345	-0.00977889
-101.4	24827	-3347	16.9044	-7.65747	8312	-1299	2.57385	-6.69617	2.40622	79.6069	2.01542	153.144	-0.000519086	-0.0604248	-14.2218	-7.58808	-0.00977889
-101.2	24834	-3346	16.9074	-7.69592	7705	-182	2.4115	-4.50989	2.34977	81.9086	2.07628	150.842	-0.000239578	-0.0604248	-13.8922	-7.40505	-0.00977889
-101	24834	-3342	16.9086	-7.68494	8180	-753	2.3999	-5.78979	2.31954	82.6666	2.02133	149.54	-0.000319438	-0.0769043	-12.9144	-6.86508	-0.00977889
-100.8	24829	-3355	16.9051	-7.70691	7783	-384	2.39288	-1.03271	2.31408	80.7111	2.10306	152.155	-0.000159719	-0.0384521	-12.5299	-6.65391	-0.00977889
-100.6	24838	-3358	16.9089	-7.7124	7381	-137	2.33887	-1.19751	2.23505	84.0894	2.09959	147.997	-0.000119789	-0.0549316	-11.1896	-5.9226	-0.00977889
-100.4	24819	-3361	16.9036	-7.7124	8027	-444	2.4234	-1.85669	2.20045	83.8586	2.09263	147.502	-0.000119789	-0.032959	-10.459	-5.52686	-0.00977889
-100.2	24817	-3365	16.9009	-7.73438	7546	134	2.33215	2.54333	2.13198	84.8474	2.12636	147.206	3.99297e-05	-0.0274658	-8.62976	-4.54389	-0.00977889
-100	24824	-3377	16.9055	-7.73987	7599	-84	2.26074	1.12061	2.24561	84.6387	2.03385	147.64	7.98594e-05	-0.0549316	-7.88269	-4.14528	-0.00977889
-99.8	24819	-3345	16.9051	-7.69592	7939	-325	2.4353	-3.14209	2.23614	84.4849	2.03733	146.904	-0.000239578	-0.0439453	-8.10791	-4.26529	-0.00977889
-99.6	24824	-3358	16.9074	-7.7124	7704	-590	2.3175	-2.23572	2.23214	83.952	2.04359	147.931	-0.000119789	-0.0769043	-7.65747	-4.0254	-0.00977889
-99.4	24830	-3357	16.9051	-7.70142	7999	-476	2.42676	-1.8512	2.29696	86.2976	1.98447	146.508	-0.000199649	-0.0384521	-8.16833	-4.29751	-0.00977889
-99.2001	24824	-3365	16.904	-7.72339	7860	-72	2.38495	1.59302	2.23068	80.4858	2.07941	152.463	-3.99297e-05	-0.0219727	-8.75061	-4.60852	-0.00977889
-99.0001	24820	-3358	16.9025	-7.72339	7703	-199	2.37549	1.87317	2.31408	83.7433	1.98203	148.81	-3.99297e-05	-0.0384521	-8.60229	-4.52921	-0.00977889
-98.8001	24823	-3355	16.9059	-7.68494	8052	-695	2.4826	-5.45471	2.20045	86.6327	2.09019	145.448	-0.000319438	-0.0549316	-8.70667	-4.58501	-0.00977889
-98.6001	24822	-3376	16.9047	-7.72888	7399	141	2.3114	0.653687	2.11414	81.2549	2.14654	149.623	0	-0.0274658	-8.27271	-4.35319	-0.00977889
-98.4001	24821	-3359	16.904	-7.69043	8028	-381	2.49451	-4.22974	2.24306	86.8524	1.99594	145.53	-0.000279508	-0.0274658	-6.95435	-3.65194	-0.00977889
-98.2001	24820	-3364	16.904	-7.73987	7174	799	2.23083	3.92761	2.15821	88.4235	2.08359	143.514	7.98594e-05	-0.0494385	-6.56433	-3.44528	-0.00977889
-98.0001	24818	-3360	16.8998	-7.7179	8284	96	2.47559	1.03271	2.27038	87.1765	1.96847	145.459	-7.98594e-05	0.0219727	-4.94934	-2.59273	-0.00977889
-97.8001	24811	-3378	16.8971	-7.73438	7609	511	2.42554	3.73535	2.08608	90.1648	2.1368	142.174	3.99297e-05	-0.00549316	-4.30664	-2.25468	-0.00651926
-97.6001	24827	-3369	16.907	-7.72888	7383	480	2.25342	0.697632	2.20446	95.0482	2.02064	137.411	0	-0.0494385	-3.51562	-1.8394	-0.00651926
-97.4001	24814	-3367	16.8956	-7.73987	7957	183	2.44568	5.61951	2.36908	88.5773	1.87855	143.756	7.98594e-05	0.0164795	-2.27417	-1.18899	-0.00651926
-97.2001	24812	-3366	16.9009	-7.75085	7542	679	2.32361	5.37231	2.11996	87.4402	2.10306	144.174	0.000159719	-0.0164795	-2.83447	-1.48236	-0.00651926
-97.0001	24815	-3372	16.904	-7.7179	7964	254	2.37335	0.670166	2.18916	93.9276	2.04046	137.527	-7.98594e-05	-0.0164795	-2.21924	-1.16024	-0.00651926
-96.8001	24818	-3354	16.9025	-7.7124	7909	-384	2.435	0.0219727	2.22085	90.769	2.00568	141.18	-0.000119789	-0.032959	-2.23572	-1.16887	-0.00651926
-96.6001	24819	-3368	16.9028	-7.73987	7362	501	2.29218	3.19153	2.11305	88.8025	2.11593	143.311	7.98594e-05	-0.0439453	-3.8562	-2.0181	-0.00651926
-96.4001	24812	-3378	16.9017	-7.7124	8004	125	2.43164	0.664673	2.27111	85.4626	1.96777	146.662	-0.000119789	-0.00549316	-4.19128	-2.19407	-0.00651926
-96.2001	24818	-3375	16.9032	-7.73987	7642	405	2.30103	2.87842	2.13854	90.769	2.10098	141.086	7.98594e-05	-0.0109863	-4.72961	-2.47709	-0.00651926
