Time	R2M1WFSIMES	R2M1WFSQMES	R2M1WFSGMES	R2M1WFSPMES	R2M1WFSIASK	R2M1WFSQASK	R2M1WFSGASK	R2M1WFSPASK	R2M1WFSCRFP	R2M1WFSCRFPP	R2M1WFSCRRP	R2M1WFSCRRPP	R2M1WFSGLDE	R2M1WFSPLDE	R2M1WFSDETA2	R2M1WFSCFQE2	R2M1WFSDFQES
-102.4	-13496	19002	12.669	125.398	3934	3271	1.61835	41.6602	1.21706	-9.0802	0.86601	-84.0839	0.000591216	0.0384521	32.6184	14.4284	0.0162981
-102.2	-13512	18988	12.6684	125.447	4644	3019	1.72211	28.3447	1.1642	-8.33862	0.839562	-84.1388	0.000211149	0.0604248	31.778	13.9665	0.0162981
-102	-13508	19001	12.6729	125.42	3915	2614	1.46912	34.2334	1.08444	-19.0887	0.796672	-75.6134	0.000422297	-0.00549316	28.2898	12.1341	0.0162981
-101.8	-13513	18995	12.6729	125.431	4401	2636	1.52679	29.5038	1.05704	-21.8408	0.719471	-73.3063	0.000337838	0.0219727	25.274	10.6445	0.0162981
-101.6	-13508	18999	12.6716	125.42	3922	2997	1.5329	34.9146	1.00729	-20.3137	0.736269	-76.6241	0.000422297	0.0164795	23.2196	9.67197	0.0162981
-101.4	-13519	18992	12.6707	125.431	4465	2785	1.56921	33.4094	1.0937	-23.1097	0.669969	-75.7672	0.000337838	0.032959	22.1155	9.16171	0.0162981
-101.2	-13508	19002	12.6729	125.42	4972	1585	1.48254	32.6624	1.04979	-21.9397	0.674973	-77.0856	0.000422297	0.00549316	18.9404	7.73669	0.0162981
-101	-13519	18999	12.6732	125.442	4677	2178	1.5094	26.4716	1.02119	-30.2124	0.642449	-67.3901	0.000253378	0.0219727	15.8038	6.38125	0.0162981
-100.8	-13533	18987	12.6774	125.469	4264	1433	1.48773	13.3649	0.986545	-31.5253	0.651741	-64.2371	4.22297e-05	-0.032959	13.8428	5.55545	0.0162981
-100.6	-13536	18978	12.6739	125.48	5030	1682	1.66016	14.9304	0.976675	-36.0187	0.626828	-60.293	-4.22297e-05	0.00549316	10.5524	4.1998	0.0162981
-100.4	-13542	18977	12.6729	125.502	5283	800	1.82556	8.9978	0.920678	-34.4312	0.65192	-61.7487	-0.000211149	-0.0219727	6.70166	2.6491	0.0162981
-100.2	-13541	18983	12.6777	125.464	3938	1734	1.45935	15.8807	0.938202	-37.4304	0.636551	-58.9966	8.44595e-05	-0.0384521	3.27393	1.28965	0.0162981
-100	-13551	18991	12.6774	125.508	5185	862	1.67023	3.64746	0.92088	-41.9128	0.66157	-55.0305	-0.000253378	-0.0439453	-0.357056	-0.140498	0.0130385
-99.8	-13544	18993	12.68	125.491	5369	407	1.54327	4.76807	0.952906	-45.7086	0.654958	-49.6802	-0.000126689	-0.0384521	-3.60352	-1.41981	0.0130385
-99.6	-13552	18985	12.681	125.519	6091	75	1.71143	-2.84546	1.03851	-47.9059	0.612331	-46.9446	-0.000337838	-0.032959	-5.93262	-2.34278	0.0130385
-99.4	-13562	18976	12.6764	125.519	6244	-101	1.83289	2.45544	1.04576	-56.1511	0.63816	-36.3593	-0.000337838	-0.0274658	-9.51416	-3.77848	0.0130385
-99.2001	-13563	18977	12.6822	125.574	7016	-1406	2.14966	-12.442	1.02925	-58.3759	0.6823	-39.2487	-0.000760135	-0.0714111	-12.4036	-4.95833	0.0130385
-99.0001	-13572	18981	12.6803	125.541	6475	-785	1.88477	-8.86047	1.07094	-58.1946	0.692486	-37.5348	-0.000506757	-0.0494385	-14.3701	-5.77606	0.0130385
-98.8001	-13562	18983	12.6822	125.557	6895	-1599	1.95374	-11.9421	1.05765	-57.03	0.720543	-39.3365	-0.000633446	-0.0878906	-17.0068	-6.89567	0.00977889
-98.6001	-13582	18977	12.6826	125.557	6152	-1187	1.96289	-14.1724	1.08444	-59.2767	0.718578	-35.1233	-0.000633446	-0.0823975	-18.9844	-7.75602	0.00977889
-98.4001	-13562	18988	12.6829	125.563	6342	-1782	1.90216	-12.4969	1.22357	-60.8588	0.727155	-30.7727	-0.000675676	-0.10437	-22.0825	-9.1466	0.00977889
-98.2001	-13571	18984	12.6842	125.557	6431	-2179	1.85669	-13.1067	1.24519	-63.5779	0.750208	-30.6738	-0.000633446	-0.137329	-23.8458	-9.96511	0.00651926
-98.0001	-13578	18983	12.6855	125.59	7387	-2456	2.14661	-18.2483	1.30041	-64.1821	0.812398	-30.0146	-0.000886824	-0.12085	-26.2189	-11.1028	0.00651926
-97.8001	-13578	18981	12.6848	125.601	7364	-2714	2.4469	-22.121	1.20482	-68.692	0.884417	-24.9445	-0.000971284	-0.12085	-27.8119	-11.8927	0.00651926
-97.6001	-13585	18971	12.6835	125.612	7269	-2652	2.41425	-19.8907	1.29859	-71.4056	0.956793	-23.9282	-0.00105574	-0.115356	-30.0806	-13.0587	0.00325963
