Time	R1M6WFSIMES	R1M6WFSQMES	R1M6WFSGMES	R1M6WFSPMES	R1M6WFSIASK	R1M6WFSQASK	R1M6WFSGASK	R1M6WFSPASK	R1M6WFSCRFP	R1M6WFSCRFPP	R1M6WFSCRRP	R1M6WFSCRRPP	R1M6WFSGLDE	R1M6WFSPLDE	R1M6WFSDETA2	R1M6WFSCFQE2	R1M6WFSDFQES
-102.4	14924	17272	16.2292	49.1638	1164	6660	2.0636	80.0958	1.6767	-138.477	1.35737	-34.3982	-0.666076	13.9911	-7.48169	-3.26572	-68.4946
-102.2	13322	18543	16.2373	54.2944	564	6738	2.0636	85.2264	1.67406	-133.242	1.36203	-29.3829	-0.702881	13.9362	-7.50916	-3.27785	-68.4946
-102	11610	19673	16.239	59.425	-39	6761	2.0636	90.3625	1.68492	-127.892	1.354	-24.4281	-0.739686	13.9142	-7.50366	-3.27542	-68.4946
-101.8	9788	20636	16.239	64.5612	-650	6735	2.0636	95.5042	1.68639	-122.25	1.35166	-19.8413	-0.77653	13.9307	-7.38281	-3.22208	-68.5696
-101.6	7911	21433	16.2407	69.7357	-1253	6646	2.0636	100.668	1.68463	-117.795	1.35607	-13.9801	-0.81365	13.8977	-7.46521	-3.25844	-68.5696
-101.4	5930	22073	16.2552	74.9268	-1847	6504	2.0636	105.864	1.68404	-112.852	1.35866	-8.56384	-0.850889	13.7933	-7.51465	-3.28027	-68.5696
-101.2	3901	22534	16.2574	80.1508	-2428	6309	2.0636	111.094	1.69666	-107.523	1.34933	-3.44971	-0.888363	13.7769	-7.5531	-3.29725	-68.651
-101	1841	22801	16.2612	85.3967	-2998	6062	2.0636	116.323	1.69108	-101.909	1.35218	1.3678	-0.925996	13.7549	-7.49268	-3.27057	-68.651
-100.8	-263	22871	16.2608	90.6262	-3538	5759	2.0636	121.558	1.68316	-96.4105	1.35841	6.40503	-0.96351	13.7494	-7.36084	-3.21238	-68.651
-100.6	-2364	22754	16.265	95.8832	-4050	5413	2.0636	126.837	1.68463	-91.637	1.36178	12.2168	-1.00122	13.7164	-7.39929	-3.22935	-68.7325
-100.4	-4439	22461	16.2778	101.14	-4529	5019	2.0636	132.094	1.70165	-86.6876	1.35115	17.7264	-1.03893	13.6285	-7.49268	-3.27057	-68.7325
-100.2	-6477	21970	16.2803	106.408	-4975	4584	2.0636	137.329	1.70165	-81.1066	1.35503	22.7197	-1.07672	13.6176	-7.56958	-3.30453	-68.7325
-100	-8474	21287	16.2876	111.725	-5373	4103	2.0636	142.652	1.69578	-75.5859	1.35944	27.724	-1.11487	13.5516	-7.58606	-3.31181	-68.814
-99.8	-10400	20406	16.285	116.96	-5726	3597	2.0636	147.876	1.69784	-70.2576	1.35555	32.915	-1.15242	13.5626	-7.36633	-3.2148	-68.814
-99.6	-12253	19367	16.2948	122.311	-6037	3048	2.0636	153.237	1.70077	-65.6049	1.35711	39.0509	-1.1908	13.4692	-7.48169	-3.26572	-68.814
-99.4	-13997	18159	16.2986	127.617	-6293	2476	2.0636	158.544	1.70547	-60.1886	1.35607	44.231	-1.22887	13.4747	-7.67395	-3.35064	-68.8923
-99.2001	-15628	16774	16.2978	132.951	-6497	1880	2.0636	163.883	1.70928	-54.4263	1.35063	49.1199	-1.26713	13.4912	-7.60803	-3.32152	-68.8923
-99.0001	-17144	15232	16.3042	138.334	-6644	1257	2.0636	169.261	1.70224	-48.8727	1.35815	54.256	1.27675	13.4143	-7.5531	-3.29725	-68.8923
-98.8001	-18511	13536	16.3016	143.828	-6732	630	2.0636	174.732	1.69666	-44.165	1.36489	60.4578	1.23734	13.4363	-7.58606	-3.31181	-68.9737
-98.6001	-19738	11694	16.3169	149.37	-6765	-27	2.0636	-179.698	1.69637	-38.4796	1.37059	65.9619	1.19758	13.3209	-7.65198	-3.34093	-68.9737
