Time	R043WFSIMES	R043WFSQMES	R043WFSGMES	R043WFSPMES	R043WFSIASK	R043WFSQASK	R043WFSGASK	R043WFSPASK	R043WFSCRFP	R043WFSCRFPP	R043WFSCRRP	R043WFSCRRPP	R043WFSGLDE	R043WFSPLDE	R043WFSDETA2	R043WFSCFQE2	R043WFSDFQES
-102.4	12730	-16681	15.8024	-52.6135	2967	-8944	2.83478	-71.2463	1.87574	-151.496	1.86667	-57.7771	-4.76554e-05	-0.0164795	4.89441	2.30559	0.00651926
-102.35	12730	-16676	15.7979	-52.63	3862	-9059	3.12164	-70.0818	1.90697	-150.579	1.78616	-58.4363	9.53107e-05	0.00549316	4.57031	2.15224	0.00651926
-102.3	12732	-16688	15.8069	-52.652	4858	-7227	2.43988	-58.678	1.87369	-149.095	1.81843	-60.1556	0.000285932	-0.0439453	4.4165	2.07952	0.00651926
-102.25	12732	-16677	15.7997	-52.652	3414	-9001	2.85004	-61.7157	1.93426	-142.899	1.83485	-66.2256	0.000285932	0	6.09192	2.87354	0.00651926
-102.2	12735	-16675	15.7997	-52.63	3903	-8765	3.00507	-66.9122	1.89442	-147.739	1.8532	-62.1936	9.53107e-05	0.0164795	5.8667	2.76655	0.00651926
-102.15	12733	-16681	15.7966	-52.652	4236	-8505	3.05298	-62.3419	1.86917	-146.525	1.91273	-62.5452	0.000285932	0.0109863	6.47644	3.05643	0.00651926
-102.1	12736	-16675	15.8006	-52.641	3092	-8667	2.84149	-65.3851	1.89048	-148.727	1.87422	-60.1886	0.000190621	-0.0109863	6.9104	3.26316	0.00651926
-102.05	12724	-16687	15.7993	-52.6685	5761	-7959	2.93915	-56.662	1.92886	-146.371	1.84344	-62.4792	0.000428898	0.0164795	7.2345	3.41781	0.00651926
-102	12727	-16682	15.8006	-52.652	3956	-7872	2.80365	-61.507	1.85034	-145.86	1.99158	-62.1497	0.000285932	-0.0164795	7.92114	3.74619	0.00651926
-101.95	12726	-16682	15.7988	-52.652	5202	-7580	2.93274	-61.1279	1.86216	-143.146	1.93144	-65.7806	0.000285932	-0.00549316	7.93213	3.75145	0.00651926
-101.9	12719	-16687	15.7961	-52.663	4602	-8711	3.04474	-58.3429	1.90259	-146.931	1.92181	-62.7979	0.000381243	0.0164795	8.70117	4.12057	0.00651926
-101.85	12729	-16684	15.7975	-52.6575	4528	-8096	3.00873	-57.7991	1.94189	-139.252	1.8922	-70.0269	0.000333587	-0.00549316	8.97583	4.25276	0.00651926
-101.8	12722	-16678	15.7961	-52.652	4839	-9197	3.10699	-62.4463	1.96746	-149.293	1.89111	-60.4193	0.000285932	0.0384521	9.58008	4.54428	0.00651926
-101.75	12723	-16684	15.7975	-52.6849	5461	-7917	3.03162	-49.7791	1.94668	-136.148	1.89474	-73.125	0.000571864	0.0164795	9.62402	4.56553	0.00651926
-101.7	12733	-16676	15.8002	-52.641	4341	-8377	2.82776	-64.1217	1.93281	-138.499	1.95688	-69.2798	0.000190621	0	10.4535	4.96753	0.00651926
-101.65	12719	-16688	15.8006	-52.6575	5015	-7860	2.74567	-56.9586	1.86742	-142.938	1.97669	-64.0942	0.000333587	0.00549316	10.0305	4.76228	0.00651926
-101.6	12731	-16676	15.7979	-52.641	4745	-8736	2.9541	-63.6053	1.97769	-141.531	1.87836	-68.0109	0.000190621	0.0164795	10.5853	5.03162	0.00651926
-101.55	12726	-16687	15.802	-52.6794	4570	-7801	2.67578	-55.6732	1.93105	-146.036	1.99613	-64.314	0.000524209	-0.0164795	10.7501	5.11181	0.00651926
-101.5	12730	-16676	15.8015	-52.652	4553	-7948	2.74048	-61.7267	1.94189	-140.559	2.00757	-68.3954	0.000285932	-0.0109863	11.5411	5.49796	0.00651926
-101.45	12716	-16691	15.7988	-52.6575	5419	-8211	2.92969	-64.3579	1.98983	-137.318	1.9209	-73.1415	0.000333587	0.0164795	11.3708	5.41465	0.00651926
-101.4	12722	-16678	15.8002	-52.6575	5630	-7787	2.81494	-58.1506	1.98264	-141.619	1.92944	-66.9177	0.000333587	0.0109863	11.9806	5.71342	0.00651926
-101.35	12725	-16682	15.7953	-52.663	5255	-8344	3.06793	-56.4807	1.99287	-144.036	2.00939	-65.2148	0.000381243	0.0219727	12.3431	5.8917	0.00651926
-101.3	12722	-16686	15.7984	-52.6575	4341	-8377	2.92236	-59.859	1.93266	-141.251	1.96687	-66.9177	0.000333587	0.00549316	12.1069	5.77549	0.00651926
